variant,dataset,backbone,horizon,seed,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate
SafeTAE-pairwise-hard,ETTh1,PatchTST,96,2026,96,5.580314970822966,1.814350049331684,5.8042865388731295,1.8533736928487337,-3.8587269281811527,-2.1055464128506984,0.0,0.9895833333333334
SafeTAE-pairwise-hard,ETTh1,PatchTST,192,2026,96,7.000366682498502,2.0496536450107086,7.242316015180876,2.0944762102183376,-3.3407729218269155,-2.1400369588801804,0.020833333333333332,0.96875
SafeTAE-pairwise-hard,ETTm1,DLinear,96,2026,96,2.735238508085441,1.2488662324095323,2.8177423433450954,1.2739993115635848,-2.9280120363634214,-1.9727702149171134,0.0,0.16666666666666666
SafeTAE-pairwise-hard,ETTm1,DLinear,192,2026,96,4.061193986742517,1.5466089025179135,3.994698335172625,1.5380548779931642,1.6645975696825477,0.5561585995094417,0.08333333333333333,0.10416666666666667
SafeTAE-pairwise-hard,ETTm1,PatchTST,96,2026,96,2.85247451472848,1.2844272435529034,3.013168467192729,1.3271271209399849,-5.333055674801242,-3.2174669925433426,0.020833333333333332,0.9791666666666666
SafeTAE-pairwise-hard,ETTm1,PatchTST,192,2026,96,4.079722427785783,1.5486308872567276,4.215013369115137,1.5842038217125196,-3.2097393094812734,-2.2454771124582993,0.020833333333333332,0.9791666666666666
SafeTAE-pairwise-blend,ETTh1,DLinear,96,2026,96,5.294718415187439,1.7666085156934137,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0
SafeTAE-pairwise-blend,ETTh1,DLinear,192,2026,96,6.7713172839613245,2.0194551565052357,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0
SafeTAE-pairwise-blend,ETTh1,PatchTST,96,2026,96,5.664004965402082,1.8290296613866144,5.8042865388731295,1.8533736928487337,-2.416861612359271,-1.3134982666853,0.0,0.9895833333333334
SafeTAE-pairwise-blend,ETTh1,PatchTST,192,2026,96,7.105711621742377,2.069641558202377,7.242316015180876,2.0944762102183376,-1.886197632960751,-1.1857213644264581,0.020833333333333332,0.96875
SafeTAE-pairwise-blend,ETTm1,DLinear,96,2026,96,2.7701629566209953,1.2612642292068141,2.8177423433450954,1.2739993115635848,-1.6885641324735043,-0.9996145320659086,0.0,0.16666666666666666
SafeTAE-pairwise-blend,ETTm1,DLinear,192,2026,96,4.016088384155462,1.5391476263789048,3.994698335172625,1.5380548779931642,0.5354609318294545,0.0710474245276375,0.08333333333333333,0.10416666666666667
SafeTAE-pairwise-blend,ETTm1,PatchTST,96,2026,96,2.9033231330284237,1.2982680980560153,3.013168467192729,1.3271271209399849,-3.645509203874468,-2.174548482294168,0.010416666666666666,0.9895833333333334
SafeTAE-pairwise-blend,ETTm1,PatchTST,192,2026,96,4.130097130312152,1.5627019998715952,4.215013369115137,1.5842038217125196,-2.014613742953548,-1.3572635926325853,0.0,1.0
SafeTAE-tiered-blend,ETTh1,DLinear,96,2026,96,5.294718415187439,1.7666085156934137,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0
SafeTAE-tiered-blend,ETTh1,DLinear,192,2026,96,6.7713172839613245,2.0194551565052357,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0
SafeTAE-tiered-blend,ETTh1,PatchTST,96,2026,96,5.597858177249679,1.817295478672774,5.8042865388731295,1.8533736928487337,-3.556481229609987,-1.9466238309362844,0.0,0.9895833333333334
SafeTAE-tiered-blend,ETTh1,PatchTST,192,2026,96,7.047254215963729,2.058609260115903,7.242316015180876,2.0944762102183376,-2.69336215844399,-1.712454395815271,0.020833333333333332,0.96875
SafeTAE-tiered-blend,ETTm1,DLinear,96,2026,96,2.7371964308178427,1.2498211381217448,2.8177423433450954,1.2739993115635848,-2.8585265232512227,-1.8978168223956398,0.0,0.16666666666666666
SafeTAE-tiered-blend,ETTm1,DLinear,192,2026,96,4.035641067022455,1.5401867158545783,3.994698335172625,1.5380548779931642,1.0249267482063416,0.1386060977443873,0.08333333333333333,0.10416666666666667
SafeTAE-tiered-blend,ETTm1,PatchTST,96,2026,96,2.8527141253881094,1.2844826863315324,3.013168467192729,1.3271271209399849,-5.325103558567341,-3.213289338621842,0.020833333333333332,0.9791666666666666
SafeTAE-tiered-blend,ETTm1,PatchTST,192,2026,96,4.093462277986849,1.5525613399742124,4.215013369115137,1.5842038217125196,-2.8837652504392457,-1.997374397466377,0.010416666666666666,0.9895833333333334
SafeTAE-mrc-consistency,ETTh1,DLinear,96,2026,96,5.294718415187439,1.7666085156934137,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0
SafeTAE-mrc-consistency,ETTh1,DLinear,192,2026,96,6.7713172839613245,2.0194551565052357,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0
SafeTAE-mrc-consistency,ETTh1,PatchTST,96,2026,96,5.597858177249679,1.817295478672774,5.8042865388731295,1.8533736928487337,-3.556481229609987,-1.9466238309362844,0.0,0.9895833333333334
SafeTAE-mrc-consistency,ETTh1,PatchTST,192,2026,96,7.0604886431858995,2.0583127359223616,7.242316015180876,2.0944762102183376,-2.510624658780134,-1.7266118348293373,0.03125,0.7916666666666666
SafeTAE-mrc-consistency,ETTm1,DLinear,96,2026,96,2.7371964308178427,1.2498211381217448,2.8177423433450954,1.2739993115635848,-2.8585265232512227,-1.8978168223956398,0.0,0.16666666666666666
SafeTAE-mrc-consistency,ETTm1,DLinear,192,2026,96,4.035641067022455,1.5401867158545783,3.994698335172625,1.5380548779931642,1.0249267482063416,0.1386060977443873,0.08333333333333333,0.10416666666666667
