dataset,backbone,horizon,seed,sample_id,variant,selected_expert,selected_tier,selected_lambda,selected_score,p_leave,mse_delta_vs_lrbn
ETTm1,PatchTST,192,2026,test_00055,SafeTAE-balanced,stage3_gated_bp,safe,1.0,1.0233713684862489,0.9999986258857344,0.011880930323085015
ETTm1,PatchTST,192,2026,test_00055,SafeTAE-mrc-consistency,stage3_gated_bp,safe,1.0,1.0233713684862489,0.9999986258857344,0.011880930323085015
ETTm1,PatchTST,192,2026,test_00055,SafeTAE-tiered-blend,stage3_gated_bp,safe,1.0,1.0233713684862489,0.9999986258857344,0.011880930323085015
ETTm1,PatchTST,192,2026,test_00055,SafeTAE-safe,stage3_gated_bp,safe,1.0,1.0233713684862489,0.9999986258857344,0.011880930323085015
ETTm1,DLinear,192,2026,test_00067,SafeTAE-pairwise-blend,level_bias_light,safe,0.5,0.6387863973476473,0.9352722254624822,0.006200482641850691
ETTm1,PatchTST,96,2026,test_00006,SafeTAE-tiered-blend,stage3_gated_bp,safe,1.0,0.999999705041949,0.9999999950435714,0.004507943656990365
ETTm1,PatchTST,96,2026,test_00006,SafeTAE-mrc-consistency,stage3_gated_bp,safe,1.0,0.999999705041949,0.9999999950435714,0.004507943656990365
ETTm1,PatchTST,96,2026,test_00006,SafeTAE-balanced,stage3_gated_bp,safe,1.0,0.999999705041949,0.9999999950435714,0.004507943656990365
ETTm1,PatchTST,96,2026,test_00006,SafeTAE-pairwise-hard,stage3_gated_bp,safe,1.0,0.999999705041949,0.9999999950435714,0.004507943656990365
ETTm1,PatchTST,96,2026,test_00006,SafeTAE-safe,stage3_gated_bp,safe,1.0,0.999999705041949,0.9999999950435714,0.004507943656990365
ETTm1,PatchTST,96,2026,test_00055,SafeTAE-mrc-consistency,volatility_shrink,safe,1.0,0.9174303952310582,0.993897662666897,0.0015463542417720189
ETTm1,PatchTST,96,2026,test_00055,SafeTAE-safe,volatility_shrink,safe,1.0,0.9174303952310582,0.993897662666897,0.0015463542417720189
ETTm1,PatchTST,96,2026,test_00055,SafeTAE-pairwise-hard,volatility_shrink,safe,1.0,0.9174303952310582,0.993897662666897,0.0015463542417720189
ETTm1,PatchTST,96,2026,test_00055,SafeTAE-tiered-blend,volatility_shrink,safe,1.0,0.9174303952310582,0.993897662666897,0.0015463542417720189
ETTm1,PatchTST,96,2026,test_00055,SafeTAE-balanced,volatility_shrink,safe,1.0,0.9174303952310582,0.993897662666897,0.0015463542417720189
ETTm1,PatchTST,96,2026,test_00055,SafeTAE-pairwise-blend,volatility_shrink,safe,0.5,0.9174303952310582,0.993897662666897,0.0005824157513759087
ETTm1,PatchTST,192,2026,test_00027,SafeTAE-pairwise-hard,amplitude_scale_bounded,balanced,1.0,0.9655836607890811,0.9982042649971763,0.00022137646647379938
