variant,slice,n,mse,lrbn_mse,mse_delta_pct_vs_lrbn,harm_rate,win_rate
mrc_ridge_abstain,non_boundary,605,4.846829684479282,4.899229639319431,-1.0695549829436661,0.013223140495867768,0.047933884297520664
mrc_ridge_abstain,large_residual_norm,80,17.305079551549067,17.435865520738332,-0.7500973723311744,0.0125,0.0625
mrc_ridge_abstain,q4_boundary,194,4.504043933123684,4.628772253626971,-2.6946307443856146,0.08247422680412371,0.1958762886597938
mrc_ridge_residual_blend,overall,768,4.786188617410421,4.894157596003544,-2.206078906422641,0.4114583333333333,0.5885416666666666
mrc_ridge_residual_blend,high_gap_low_repair,163,4.649222399011573,4.875331913757459,-4.637828116769977,0.37423312883435583,0.6257668711656442
mrc_ridge_residual_blend,low_gap_high_repair,90,6.257896959863421,6.1664226048291715,1.483426627527441,0.45555555555555555,0.5444444444444444
mrc_ridge_residual_blend,non_boundary,605,4.823090259722838,4.899229639319431,-1.5541092181129017,0.4214876033057851,0.5785123966942148
mrc_ridge_residual_blend,large_residual_norm,80,17.47226158515546,17.435865520738332,0.208742516125542,0.45,0.55
mrc_ridge_residual_blend,q4_boundary,194,4.35618855687942,4.628772253626971,-5.8888984210677435,0.36082474226804123,0.6391752577319587
SafeTAE-pairwise-hard,overall,768,4.796918348726557,4.894157596003544,-1.9868433978853968,0.018229166666666668,0.5234375
SafeTAE-pairwise-hard,high_gap_low_repair,163,4.648200909377736,4.875331913757459,-4.658780323713251,0.024539877300613498,0.7177914110429447
SafeTAE-pairwise-hard,low_gap_high_repair,90,6.101707335770924,6.1664226048291715,-1.0494783296658645,0.0,0.35555555555555557
SafeTAE-pairwise-hard,non_boundary,605,4.83698602246847,4.899229639319431,-1.270477632327513,0.01652892561983471,0.47107438016528924
SafeTAE-pairwise-hard,large_residual_norm,80,17.312606861096775,17.435865520738332,-0.7069259591630824,0.0,0.5125
SafeTAE-pairwise-hard,q4_boundary,194,4.4090696090971475,4.628772253626971,-4.746456123068595,0.030927835051546393,0.654639175257732
SafeTAE-pairwise-blend,overall,768,4.831927986301282,4.894157596003544,-1.2715080860070131,0.014322916666666666,0.52734375
SafeTAE-pairwise-blend,high_gap_low_repair,163,4.730786026044353,4.875331913757459,-2.9648419835526556,0.018404907975460124,0.7239263803680982
