dataset,backbone,horizon,seed,method,count,coverage,mse_delta_pct_vs_lrbn,harm_rate,q4_improvement_pct,low_gap_high_repair_delta_pct,A_gt_1_rate
ETTm1,DLinear,96,2026,LRBN-SRA-BP-support,96,0.5520833333333334,-5.961812573032402,0.052083333333333336,11.997243825950083,0.0,0.5
ETTm1,DLinear,192,2026,LRBN-SRA-BP-support,96,0.5729166666666666,-2.2155734432911722,0.19791666666666666,6.859054840964199,0.0,0.375
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-support,96,0.40625,-4.476834736858485,0.052083333333333336,10.14852496625307,0.0,0.3541666666666667
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-support,96,0.5208333333333334,-2.052478743772565,0.1875,5.195274796593722,0.0,0.3333333333333333
ETTh1,DLinear,96,2026,LRBN-SRA-BP-continuous,96,0.3020833333333333,-0.48692731611516954,0.0625,2.4417019409631235,1.5132483925422692e-14,0.2604166666666667
ETTh1,DLinear,192,2026,LRBN-SRA-BP-continuous,96,0.22916666666666666,-0.4331412324324781,0.125,3.3331911358883977,0.0,0.16666666666666666
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-continuous,96,0.3333333333333333,-0.49164586123261633,0.08333333333333333,2.0866415230367963,-1.6289691464153146e-14,0.3125
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-continuous,96,0.28125,0.04114087428443351,0.11458333333333333,-0.2598929494748271,0.0,0.20833333333333334
ETTm1,DLinear,96,2026,LRBN-SRA-BP-continuous,96,0.4270833333333333,-1.660656243162055,0.052083333333333336,3.998842193916363,-4.077424145467426e-14,0.3958333333333333
ETTm1,DLinear,192,2026,LRBN-SRA-BP-continuous,96,0.3645833333333333,-1.0586153310640585,0.125,4.936626742380335,0.0,0.3333333333333333
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-continuous,96,0.4583333333333333,-1.8546903062221718,0.07291666666666667,4.737079574980091,0.0,0.40625
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-continuous,96,0.4895833333333333,-1.2901985552318056,0.15625,3.20342952508058,0.0,0.3541666666666667
