split,method,n,mse,mae,mse_lrbn,mae_lrbn,mean_delta,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,selected_count,mean_strength,q4_improvement_pct,low_gap_high_repair_delta_pct,high_gap_low_repair_delta_pct,low_gap_high_repair_coverage,high_gap_low_repair_coverage,config_improved_ratio,test_threshold_leakage,method_family,anchor_mode,tail_len,tau_g,tau_r,tau_j,alpha,K,continuous,kg,kr,kj,q_g,candidate_index,safe_feasible,balanced_feasible
val,LRBN-SRA-BP-support,768,8.791378408500679,2.3042964716028678,8.79717792520947,2.3053724718885635,-0.0057995167087903825,-0.06592474031449588,-0.04667359804756174,0.013020833333333334,0.15755208333333334,0.17057291666666666,131,0.01705729166666667,0.16105700959443411,0.0,-0.18963936860388386,0.0,0.4662576687116564,1.0,False,support,last,16,2.4260872328869336,-0.2,0.3,0.1,8,False,4.0,4.0,4.0,0.5,10,False,False
val,LRBN-SRA-BP-support,768,8.791072658129133,2.3042182537126497,8.79717792520947,2.3053724718885635,-0.006105267080336349,-0.0694002909262622,-0.05006645064871871,0.020833333333333332,0.19010416666666666,0.2109375,162,0.021093750000000005,0.16645859382343312,0.0,-0.1959995576154206,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.5,0.1,8,False,4.0,4.0,4.0,0.5,11,False,False
val,LRBN-SRA-BP-support,768,8.791074482022845,2.3042185981008063,8.79717792520947,2.3053724718885635,-0.006103443186624588,-0.0693795582126005,-0.05005151214488193,0.0234375,0.19010416666666666,0.21354166666666666,164,0.021354166666666664,0.16645859382343312,0.0,-0.1959995576154206,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.7,0.1,8,False,4.0,4.0,4.0,0.5,12,False,False
val,LRBN-SRA-BP-continuous,768,8.792062648018726,2.304452766934333,8.79717792520947,2.3053724718885635,-0.005115277190742879,-0.05814679694348399,-0.039893985091608145,0.19921875,0.7981770833333334,0.9869791666666666,758,0.014570528755322694,0.13756308331534373,-1.203018233830412e-08,-0.1578884891763248,0.8809523809523809,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.3,0.1,8,True,4.0,4.0,4.0,0.5,13,False,False
val,LRBN-SRA-BP-continuous,768,8.790868221132383,2.304227740573663,8.79717792520947,2.3053724718885635,-0.006309704077085862,-0.07172418386392532,-0.0496549396634988,0.19921875,0.7981770833333334,0.9908854166666666,761,0.0186454100680326,0.16759085048728972,-2.0324609272534614e-08,-0.19234403220082455,0.9166666666666666,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.5,0.1,8,True,4.0,4.0,4.0,0.5,14,False,False
val,LRBN-SRA-BP-continuous,768,8.790110306496603,2.3040824746893063,8.79717792520947,2.3053724718885635,-0.007067618712865538,-0.08033961305454243,-0.05595612897229074,0.20052083333333334,0.7981770833333334,1.0,768,0.02147429276709543,0.1861068026731814,-3.0265867423320334e-08,-0.21357669027665385,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.7,0.1,8,True,4.0,4.0,4.0,0.5,15,False,False
val,LRBN-SRA-BP-continuous,768,8.789321194000513,2.3039281235013065,8.79717792520947,2.3053724718885635,-0.007856731208956478,-0.08930967711260378,-0.06265141093702274,0.20182291666666666,0.7981770833333334,1.0,768,0.024720913421283307,0.20483892817180757,-5.3158801332085453e-08,-0.2350393629269782,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,,0.1,8,True,4.0,4.0,4.0,0.5,16,False,False
val,LRBN-SRA-BP-short,768,8.787913696884111,2.303613336157854,8.79717792520947,2.3053724718885635,-0.009264228325358746,-0.10530909336595073,-0.07630592212450375,0.036458333333333336,0.17708333333333334,0.21354166666666666,164,0.021354166666666664,0.25158121763952446,0.0,-0.29622866701610717,0.0,0.5153374233128835,1.0,False,short,last,16,2.4260872328869336,-0.2,,0.1,16,False,4.0,4.0,4.0,0.5,17,False,False
val,LRBN-SRA-BP-support,768,8.788278130044304,2.3036907187283835,8.79717792520947,2.3053724718885635,-0.008899795165165059,-0.10116647896304425,-0.07294930313397122,0.020833333333333332,0.14973958333333334,0.17057291666666666,131,0.01705729166666667,0.24342340732065518,0.0,-0.28662311180333494,0.0,0.4662576687116564,1.0,False,support,last,16,2.4260872328869336,-0.2,0.3,0.1,16,False,4.0,4.0,4.0,0.5,18,False,False
val,LRBN-SRA-BP-support,768,8.787904875428294,2.303610980521088,8.79717792520947,2.3053724718885635,-0.00927304978117586,-0.10540936933946699,-0.07640810243526047,0.033854166666666664,0.17708333333333334,0.2109375,162,0.021093750000000005,0.25158121763952446,0.0,-0.29622866701610717,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.5,0.1,16,False,4.0,4.0,4.0,0.5,19,False,False
val,LRBN-SRA-BP-support,768,8.787913696884111,2.303613336157854,8.79717792520947,2.3053724718885635,-0.009264228325358746,-0.10530909336595073,-0.07630592212450375,0.036458333333333336,0.17708333333333334,0.21354166666666666,164,0.021354166666666664,0.25158121763952446,0.0,-0.29622866701610717,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.7,0.1,16,False,4.0,4.0,4.0,0.5,20,False,False
val,LRBN-SRA-BP-continuous,768,8.7892849195289,2.3039165667220844,8.79717792520947,2.3053724718885635,-0.007893005680569101,-0.08972201925096109,-0.06315270863675829,0.23828125,0.7591145833333334,0.9869791666666666,758,0.014570528755322694,0.21164224960145986,-7.360382423517124e-09,-0.24155980188726406,0.8809523809523809,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.3,0.1,16,True,4.0,4.0,4.0,0.5,21,False,False
val,LRBN-SRA-BP-continuous,768,8.78746319751385,2.303568663719096,8.79717792520947,2.3053724718885635,-0.009714727695619861,-0.11043004662595432,-0.07824367574605069,0.23958333333333334,0.7591145833333334,0.9908854166666666,761,0.0186454100680326,0.2573804555966546,-1.566339020570223e-08,-0.2937357426293003,0.9166666666666666,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.5,0.1,16,True,4.0,4.0,4.0,0.5,22,False,False
val,LRBN-SRA-BP-continuous,768,8.786312714018008,2.3033470602267183,8.79717792520947,2.3053724718885635,-0.010865211191461404,-0.12350791664648582,-0.08785615677107428,0.23958333333333334,0.7591145833333334,1.0,768,0.02147429276709543,0.28548904712838524,-2.859379314509564e-08,-0.32577426109312313,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,0.7,0.1,16,True,4.0,4.0,4.0,0.5,23,False,False
val,LRBN-SRA-BP-continuous,768,8.785120176112308,2.3031155414943307,8.79717792520947,2.3053724718885635,-0.01205774909716052,-0.1370638309917794,-0.09789873055064506,0.24088541666666666,0.7591145833333334,1.0,768,0.024720913421283307,0.3138419158092338,-6.604653056194936e-08,-0.3580574475649455,1.0,1.0,1.0,False,continuous,last,16,2.4260872328869336,-0.2,,0.1,16,True,4.0,4.0,4.0,0.5,24,False,False
val,LRBN-SRA-BP-short,768,8.78462982921963,2.3030339069427095,8.79717792520947,2.3053724718885635,-0.01254809598983773,-0.14263774226524367,-0.10143978746281791,0.04296875,0.17057291666666666,0.21354166666666666,164,0.021354166666666664,0.3409631651124576,0.0,-0.40147299091136374,0.0,0.5153374233128835,1.0,False,short,last,16,2.4260872328869336,-0.2,,0.1,24,False,4.0,4.0,4.0,0.5,25,False,False
val,LRBN-SRA-BP-support,768,8.785060849915086,2.3031071963617222,8.79717792520947,2.3053724718885635,-0.012117075294383767,-0.13773820858945116,-0.09826071685325174,0.024739583333333332,0.14583333333333334,0.17057291666666666,131,0.01705729166666667,0.3316175489588292,0.0,-0.3904688331224229,0.0,0.4662576687116564,1.0,False,support,last,16,2.4260872328869336,-0.2,0.3,0.1,24,False,4.0,4.0,4.0,0.5,26,False,False
val,LRBN-SRA-BP-support,768,8.784614632615869,2.303030292722648,8.79717792520947,2.3053724718885635,-0.012563292593601382,-0.142810486341514,-0.10159656126357455,0.040364583333333336,0.17057291666666666,0.2109375,162,0.021093750000000005,0.3409631651124576,0.0,-0.40147299091136374,0.0,0.5153374233128835,1.0,False,support,last,16,2.4260872328869336,-0.2,0.5,0.1,24,False,4.0,4.0,4.0,0.5,27,False,False
