method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-BP-short-bridge,gap_repair,low_gap__low_repair,48,1.0,-0.05353976534308142,-0.002785091042281982,0.3125,0.6875,2.309358103705964,0.6875,4.010413779936222
LRBN-BP-short-bridge,gap_repair,low_gap__mid_repair,35,1.0,0.0003345343697100278,1.7145185875492138e-05,0.4857142857142857,0.5142857142857142,0.9362962414588901,0.5142857142857142,-2.443811247262753
LRBN-BP-short-bridge,gap_repair,low_gap__high_repair,90,1.0,-0.004228543473508462,-0.0002607498610296128,0.4777777777777778,0.5222222222222223,1.315199704766546,0.5222222222222223,-0.013313215309560613
LRBN-BP-short-bridge,gap_repair,mid_gap__low_repair,258,1.0,-0.47619091366953487,-0.021799201731128745,0.12790697674418605,0.872093023255814,3.952524591628301,0.872093023255814,4.6354764917898725
LRBN-BP-short-bridge,gap_repair,mid_gap__mid_repair,119,1.0,-0.2994323618889298,-0.014956437534604369,0.14285714285714285,0.8571428571428571,3.2769696482752013,0.8571428571428571,5.729767660771474
LRBN-BP-short-bridge,gap_repair,mid_gap__high_repair,24,1.0,-0.10810390938160735,-0.004558694847878213,0.125,0.875,3.9403288635691665,0.875,7.2592581411721895
LRBN-BP-short-bridge,gap_repair,high_gap__low_repair,163,1.0,-1.649208411928336,-0.08040438419603634,0.024539877300613498,0.9754601226993865,10.311439997929073,0.9754601226993865,4.8558860240674075
LRBN-BP-short-bridge,gap_repair,high_gap__mid_repair,29,1.0,-1.9120270832301551,-0.06766340291267169,0.0,1.0,0.0,1.0,5.255629037067165
LRBN-BP-short-bridge,gap_repair,high_gap__high_repair,2,1.0,-0.0006832459065052763,-2.3114994668060884e-06,0.5,0.5,20.46130703416748,0.5,-4.006185462601451
LRBN-SRA-BP-safe,gap_repair,low_gap__low_repair,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,gap_repair,low_gap__mid_repair,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,gap_repair,low_gap__high_repair,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,gap_repair,mid_gap__low_repair,258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,gap_repair,mid_gap__mid_repair,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,gap_repair,mid_gap__high_repair,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-safe,gap_repair,high_gap__low_repair,163,0.7484662576687117,-6.197213527338204,-0.3021347294817357,0.15950920245398773,0.588957055214724,2.3141168774217076,0.588957055214724,1.9969530269999047
LRBN-SRA-BP-safe,gap_repair,high_gap__mid_repair,29,0.7586206896551724,-12.635077003818532,-0.44713399388553604,0.034482758620689655,0.7241379310344828,1.9859153348846124,0.7241379310344828,2.6595024668845055
LRBN-SRA-BP-safe,gap_repair,high_gap__high_repair,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,gap_repair,low_gap__low_repair,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,gap_repair,low_gap__mid_repair,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,gap_repair,low_gap__high_repair,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-balanced,gap_repair,mid_gap__low_repair,258,0.45348837209302323,-1.276180515435249,-0.05842135098070107,0.14728682170542637,0.3062015503875969,1.4626055652096348,0.3062015503875969,0.9210463039026903
LRBN-SRA-BP-balanced,gap_repair,mid_gap__mid_repair,119,0.2857142857142857,-0.9456745807927318,-0.04723578542567729,0.07563025210084033,0.21008403361344538,2.9648714338695146,0.21008403361344538,0.9073343002518809
