method,slice_type,slice_name,count,coverage,mse_delta_pct_vs_lrbn,mean_delta,harm_rate,win_rate,win_loss_ratio,A_gt_1_rate,mean_A
LRBN-SRA-BP-basic,oracle_boundary,mid_or_mixed,401,0.14214463840399003,-0.35978957164986364,-0.016838181717178963,0.057356608478802994,0.08478802992518704,0.9172446073080881,0.08478802992518704,0.319026684115292
LRBN-SRA-BP-short,oracle_boundary,low_gL_low_gY,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,oracle_boundary,high_gL_low_gY,143,0.8811188811188811,-9.425412736615323,-0.41855841215283546,0.14685314685314685,0.7342657342657343,3.012576335012831,0.7342657342657343,2.5839417021198967
LRBN-SRA-BP-short,oracle_boundary,high_gL_high_gY,51,0.9019607843137255,-4.48119197862791,-0.23104980629128585,0.21568627450980393,0.6862745098039216,1.125865901867602,0.6862745098039216,1.8987729601030015
LRBN-SRA-BP-short,oracle_boundary,low_gL_high_gY,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-short,oracle_boundary,mid_or_mixed,401,0.3915211970074813,-1.1408977554085669,-0.05339410933507021,0.12219451371571072,0.26932668329177056,1.6003614260693544,0.26932668329177056,0.9148646113206998
LRBN-SRA-BP-support,oracle_boundary,low_gL_low_gY,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,oracle_boundary,high_gL_low_gY,143,0.9440559440559441,-10.078278988383067,-0.4475505283947611,0.15384615384615385,0.7902097902097902,2.790448409690808,0.7902097902097902,2.7255172397733083
LRBN-SRA-BP-support,oracle_boundary,high_gL_high_gY,51,0.9215686274509803,-4.988126348200794,-0.25718729123967005,0.19607843137254902,0.7254901960784313,1.1357212229726146,0.7254901960784313,2.205662858355355
LRBN-SRA-BP-support,oracle_boundary,low_gL_high_gY,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRBN-SRA-BP-support,oracle_boundary,mid_or_mixed,401,0.38154613466334164,-1.0952399932024597,-0.05125732228673905,0.11970074812967581,0.26184538653366585,1.5794538557604758,0.26184538653366585,0.8710338530280162
LRBN-SRA-BP-continuous,oracle_boundary,low_gL_low_gY,138,0.0,-6.616889863824347e-14,-3.7844123969831425e-15,0.0,0.34057971014492755,1.5628150946849439e-06,0.0,4.267190529768406e-07
