config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,g_raw,g_l,g_y,repair_ratio,jump_support,trend_support,vol_support,smooth_support,g_l_bin,g_y_bin,gap_group,repair_group,pred_gap_flag,low_gap_flag,high_repair_flag,low_repair_flag,true_jump_flag,oracle_boundary_bin,method,mse_lrbn,mse_method,mae_lrbn,mae_method,delta_mse_vs_lrbn,harm,win,strength,selected,A,A_gt_1,alignment_cosine
ETTh1_PatchTST_96_seed2026,test::test_00045,test_00045,test,ETTh1,PatchTST,96,2026,2.15586349751587,0.07011861856607261,0.0856043442761782,0.967475405505834,0.6666666666666666,0.0,1.0,1.0,q1_low,q1_low,low,high,False,True,True,False,False,low_gL_low_gY,LRBN-BP-always,4.740648984097643,4.697903605220041,1.8511542052083334,1.8391180702302634,-0.042745378877601325,False,True,1.0,True,156.20445627702102,True,0.5953125676237634
ETTh1_PatchTST_96_seed2026,test::test_00046,test_00046,test,ETTh1,PatchTST,96,2026,1.7366038798129695,1.3330336975563633,0.6840105025707426,0.23239090650261807,0.4869313184451349,0.0,0.7501676708567825,0.7106262844786221,q2,q3,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,3.6755000034289353,3.3260897752256073,1.515929171875,1.3930916298355263,-0.349410228203328,False,True,1.0,True,7.166739299046666,True,0.44491129693408005
ETTh1_PatchTST_96_seed2026,test::test_00047,test_00047,test,ETTh1,PatchTST,96,2026,3.112693796989531,4.320848702528196,3.162939246211639,-0.38813760562299304,0.26621366804627794,0.016282461644084138,0.23143585322938778,0.5509226892653618,q3,q4_high,mid,low,False,False,False,True,True,mid_or_mixed,LRBN-BP-always,3.5924290831304924,2.9130026892185206,1.4418003416666665,1.2288093926973684,-0.6794263939119718,False,True,1.0,True,4.90465148222861,True,0.5397145520582289
ETTh1_PatchTST_96_seed2026,test::test_00048,test_00048,test,ETTh1,PatchTST,96,2026,5.362666686335174,4.960749372478709,1.2114965254244072,0.074947458497309,0.1551601366506496,0.0,0.20158239753300733,0.26389801241894145,q4_high,q3,high,low,True,False,False,True,False,high_gL_low_gY,LRBN-BP-always,2.5480659407434536,1.9635244406104129,1.2429217593750002,1.1204719686951754,-0.5845415001330407,False,True,1.0,True,1.4289375263356756,True,0.5225027294206218
ETTh1_PatchTST_96_seed2026,test::test_00049,test_00049,test,ETTh1,PatchTST,96,2026,0.8857517411068855,1.6756590872214003,0.0,-0.8917910263844109,0.33680435677791015,0.0,0.596779695304248,0.4136333750294824,q2,q1_low,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,1.6417815691962794,2.056334291518344,1.021796748958333,1.166190956743421,0.4145527223220644,True,False,1.0,True,-1.2915572287561123,False,-0.21436333862893495
ETTh1_PatchTST_96_seed2026,test::test_00050,test_00050,test,ETTh1,PatchTST,96,2026,3.609963629526644,4.302981693718972,0.1030786748451659,-0.1919733668645942,0.18979087074879838,0.0,0.2323969119465578,0.33697570029983737,q3,q1_low,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,3.3247660650228457,2.324643776125379,1.5164990968749998,1.166808585010965,-1.0001222888974666,False,True,1.0,True,2.3981648908342654,True,0.5561806216756552
ETTh1_PatchTST_96_seed2026,test::test_00051,test_00051,test,ETTh1,PatchTST,96,2026,0.7541031158785853,0.7797013765932725,0.30921086628387623,-0.03394393449883859,0.7552351102230345,0.26570533066910357,1.0,1.0,q1_low,q2,low,low,False,True,False,True,False,low_gL_low_gY,LRBN-BP-always,2.3046992698654747,2.2244332391141515,1.2258366031249999,1.216225855866228,-0.08026603075132321,False,True,1.0,True,8.68829819371874,True,0.29238058689380186
ETTh1_PatchTST_96_seed2026,test::test_00052,test_00052,test,ETTh1,PatchTST,96,2026,0.7061674412083154,0.18152149410277443,1.1911322303067293,0.7429487307699911,0.7499493857605278,0.24984815728158355,1.0,1.0,q1_low,q3,low,high,False,True,True,False,False,low_gL_low_gY,LRBN-BP-always,2.9711039089807336,2.947104841241924,1.4159364854166665,1.4120451650548247,-0.023999067738809554,False,True,1.0,True,51.95883748288097,True,0.32708643043425556
ETTh1_PatchTST_96_seed2026,test::test_00053,test_00053,test,ETTh1,PatchTST,96,2026,3.154947544138312,0.5138979574373452,1.6253083013472502,0.837113680223998,0.7018075926050834,0.10542277781525013,1.0,1.0,q1_low,q4_high,low,high,False,True,True,False,True,low_gL_high_gY,LRBN-BP-always,2.9212712962829124,2.8466574867538714,1.3534970427083335,1.3328973234100878,-0.07461380952904095,False,True,1.0,True,51.02771049918289,True,0.5764954080843842
ETTh1_PatchTST_96_seed2026,test::test_00054,test_00054,test,ETTh1,PatchTST,96,2026,1.2587172420011914,2.2914912178461218,0.8408043872447486,-0.8204957562249686,0.45701317061733543,0.0,0.4363966672546286,0.9346428445973777,q2,q3,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,2.4085048893484973,2.02973411369561,1.2247853447916668,1.1628190744407896,-0.3787707756528871,False,True,1.0,True,4.418271328935555,True,0.4738420428878088
ETTh1_PatchTST_96_seed2026,test::test_00055,test_00055,test,ETTh1,PatchTST,96,2026,0.44897202629006633,2.027763486520826,0.6551048545799063,-3.516448356099586,0.42511766382139377,0.0,0.49315383673008983,0.7821991547340915,q2,q3,mid,low,False,False,False,True,False,mid_or_mixed,LRBN-BP-always,2.2424326341636642,1.4414617065627222,1.2282327656249998,0.9251926325109648,-0.800970927600942,False,True,1.0,True,5.122634754744463,True,0.7539189192327203
