method,sample_id,dataset,backbone,horizon,seed,split,delta_mse_vs_lrbn,selected,strength,g_l,g_y,repair_ratio,jump_support,A,case_type
LRBN-BP-always,test_00041,ETTh1,DLinear,96,2026,test,-2.2494848827194844,True,1.0,5.501336033375028,0.16324065602303037,0.2828893388838071,0.09667566242176866,5.690178690982577,high_gap_low_repair_win
LRBN-BP-always,test_00005,ETTh1,DLinear,96,2026,test,-1.2225271636513733,True,1.0,7.11182061151196,0.8089085523924641,0.13627927812539475,0.06184284016810023,1.7799502040585957,high_gap_low_repair_win
LRBN-BP-always,test_00082,ETTh1,DLinear,96,2026,test,-1.0628839662492093,True,1.0,6.3159666193087345,0.8418316215886246,-1.1463124672435319,0.0742092360550415,6.062828510424459,high_gap_low_repair_win
LRBN-BP-always,test_00028,ETTh1,DLinear,96,2026,test,0.19765846084548588,True,1.0,7.156415923220962,0.5635813376661638,0.25067972584692666,0.0656307254707021,0.6713194128873046,high_gap_low_repair_win
LRBN-BP-always,test_00089,ETTh1,DLinear,96,2026,test,0.2561333107874484,True,1.0,5.5615940809411955,0.0,-0.4094447777635848,0.08231815980393041,0.25217281261742863,high_gap_low_repair_win
LRBN-BP-always,test_00093,ETTh1,DLinear,96,2026,test,0.26239341328604393,True,1.0,4.658184088326012,1.7315248263756455,-0.3184492534965271,0.09985130362119038,0.4830649264036123,high_gap_low_repair_win
LRBN-BP-always,test_00010,ETTh1,DLinear,96,2026,test,0.36019411417235503,True,1.0,6.273294880790408,0.4917934324851287,0.14637416727817876,0.08023556487827167,0.6677116155290599,high_gap_low_repair_win
LRBN-BP-always,test_00069,ETTh1,DLinear,96,2026,test,0.5285167051829103,True,1.0,5.55964186869317,3.5245340626212593,-0.2074916727988223,0.08102477107741625,0.29689527493503,high_gap_low_repair_win
LRBN-BP-always,test_00015,ETTh1,DLinear,96,2026,test,0.9533539724691045,True,1.0,7.408712060484911,1.0551336353365537,0.18845377544608188,0.06628661766356046,-0.2961624518695919,high_gap_low_repair_win
LRBN-BP-always,test_00001,ETTh1,DLinear,96,2026,test,0.9609954155844451,True,1.0,4.669413455881945,0.14116493239467334,0.18355633699746476,0.09554262654519234,-1.0798588272688288,high_gap_low_repair_win
LRBN-BP-always,test_00060,ETTh1,DLinear,192,2026,test,4.377029371485616,True,1.0,4.571762467456284,3.617196926912944,-5.279243967546975,0.08643665048931021,-12.685494027006426,top_harm
LRBN-BP-always,test_00081,ETTh1,DLinear,192,2026,test,2.622974390566691,True,1.0,5.032730010025423,0.16064344704018227,0.518676743581818,0.08744478204599854,-5.527754389325972,top_harm
LRBN-BP-always,test_00004,ETTh1,DLinear,192,2026,test,2.3311760009511273,True,1.0,4.090480777603539,1.1544052153716409,-1.7643705944710453,0.10121744420971562,-4.546018603734074,top_harm
LRBN-BP-always,test_00069,ETTh1,DLinear,192,2026,test,1.2768479548390461,True,1.0,2.7376068641422857,0.15024874692925128,0.6178751378527925,0.13816052146868424,-8.394387724891734,top_harm
LRBN-BP-always,test_00030,ETTh1,DLinear,192,2026,test,1.162467160606509,True,1.0,3.8874427915821075,2.1623052087984194,-1.563993305373308,0.12270559612420605,-9.742990542497614,top_harm
LRBN-BP-always,test_00003,ETTh1,DLinear,192,2026,test,1.0591314413082262,True,1.0,4.5131758490617155,3.0701720978684865,-2.1316837757452105,0.09300259146169072,-1.6890299005532508,top_harm
LRBN-BP-always,test_00077,ETTh1,DLinear,192,2026,test,0.9620827047015155,True,1.0,0.6132439882846753,0.32892230271717365,0.7086301486083445,0.3883595424981052,-73.40689886242409,top_harm
LRBN-BP-always,test_00009,ETTh1,DLinear,192,2026,test,0.8918979534234603,True,1.0,1.92977174666875,2.1413199499097377,-0.3815690293413603,0.2278123223195776,-10.80884153153803,top_harm
LRBN-BP-always,test_00056,ETTh1,DLinear,192,2026,test,0.8362880860621882,True,1.0,4.182718998718718,0.1635101797103997,-10.880589512663072,0.0997182363695256,-2.0342826385181634,top_harm
LRBN-BP-always,test_00011,ETTh1,DLinear,192,2026,test,0.657910368463726,True,1.0,2.0114777173777525,0.08794076608556217,0.524862552386071,0.22624734848368075,-2.0715955823335688,top_harm
LRBN-BP-always,test_00017,ETTh1,DLinear,192,2026,test,0.4593482106864002,True,1.0,2.226926758430453,1.3270701802016602,-1.8154204345311746,0.18284722590177274,-2.950503903136045,top_harm
