variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,shrink,residual_cap,gate_quantile,score_threshold,mix_residual,patch_delta_rms,calibration_score,target_variant
H2L Learned Patch Residual Editor,232,8.81356420089438,2.293744064914741,9.1261157455358,2.332075092367097,-0.31255154464142315,-3.4248036406050466,-1.6436446413517996,0.1896551724137931,0.45689655172413796,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.29333333333333333,0.16492253132982126,0.35344827586206895,0.3481800766283525,0.00016381609553883678,0.10402339742458112,1.6000099223235558,0.75,0.25,0.75,1.3063579201698303,1.0,1.4154707193374634,37.4372653249122,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.97529004667657,2.3168138937553726,9.1261157455358,2.332075092367097,-0.15082569885923078,-1.6526822900283937,-0.6544042512281961,0.08620689655172414,0.21982758620689655,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.28169014084507044,0.07958545229392859,0.6939655172413793,0.14224137931034483,4.969250765685022e-05,0.04438405123715248,1.0395502746105194,0.75,0.25,0.9,2.0707091093063363,1.0,1.4154707193374634,-1.6402458588462514,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.166829904366763,2.1920719161429143,9.1261157455358,2.332075092367097,-0.9592858411690386,-10.511436265611092,-6.003373394024799,0.3103448275862069,0.6896551724137931,0.4827586206896552,1.0,8,8,False,1.0,232,0.3103448275862069,0.5061816263808894,0.0,1.0,0.0010768415816907167,0.3021264812947462,1.927443228726243,0.75,0.35,0.0,0.0538950152695179,1.0,1.4154707193374634,72.76442580335443,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.374363548692015,2.2275998551081915,9.1261157455358,2.332075092367097,-0.7517521968437854,-8.237373018063911,-4.479925931753293,0.25862068965517243,0.6422413793103449,0.41379310344827586,1.0,8,8,False,0.9008620689655172,209,0.28708133971291866,0.39667337231837724,0.09913793103448276,0.664272030651341,0.0007604191719165439,0.24712371853101942,1.8647790391897332,0.75,0.35,0.5,0.7479564249515533,1.0,1.4154707193374634,55.38331663710851,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.713199102819521,2.28122143836328,9.1261157455358,2.332075092367097,-0.41291664271628076,-4.524560654030809,-2.1806181950229653,0.1939655172413793,0.4525862068965517,0.3448275862068966,1.0,8,8,False,0.646551724137931,150,0.3,0.2178816873968988,0.35344827586206895,0.3481800766283525,0.00032091302730303655,0.14560309233748966,1.6000099223235558,0.75,0.35,0.75,1.3063579201698303,1.0,1.4154707193374634,37.113370380451954,H2L Learned Patch Residual Editor
H2L Learned Patch Residual Editor,232,8.922198389987587,2.311564831665876,9.1261157455358,2.332075092367097,-0.20391735554821575,-2.234437530824871,-0.8794854282524192,0.09051724137931035,0.21551724137931033,0.1724137931034483,0.875,7,8,False,0.30603448275862066,71,0.29577464788732394,0.10760006480747937,0.6939655172413793,0.14224137931034483,9.739731500742646e-05,0.06213767173201353,1.0395502746105194,0.75,0.35,0.9,2.0707091093063363,1.0,1.4154707193374634,-2.234437530824871,H2L Learned Patch Residual Editor
H6 Denoising Teacher Manifold Projector,232,9.024574374969818,2.3218504989135225,9.1261157455358,2.332075092367097,-0.10154137056598458,-1.1126460948557284,-0.4384332838679421,0.3577586206896552,0.6422413793103449,0.4827586206896552,1.0,8,8,False,1.0,232,0.3577586206896552,0.05357983396835895,0.0,1.0,2.566918082256622e-05,0.050679491462815515,0.8380275031087101,0.1,0.1,0.0,0.21004817415199797,0.0,4.2548526734082985,91.49030371367972,H6 Denoising Teacher Manifold Projector
H6 Denoising Teacher Manifold Projector,232,9.058590707944017,2.3239773349091184,9.1261157455358,2.332075092367097,-0.06752503759178484,-0.7399099397881711,-0.34723399129639687,0.20689655172413793,0.44396551724137934,0.41379310344827586,1.0,8,8,False,0.6508620689655172,151,0.31788079470198677,0.0356306033955289,0.34913793103448276,0.5699233716475096,1.5083290769150268e-05,0.03506502164071631,0.7065683994724969,0.1,0.1,0.5,0.5453277693362517,0.0,4.2548526734082985,54.901516785932166,H6 Denoising Teacher Manifold Projector
H6 Denoising Teacher Manifold Projector,232,9.096834073206393,2.3279479917060737,9.1261157455358,2.332075092367097,-0.029281672329406896,-0.3208558067176107,-0.17697117287665518,0.14224137931034483,0.28448275862068967,0.41379310344827586,0.75,6,8,False,0.4267241379310345,99,0.3333333333333333,0.015450915552749899,0.5732758620689655,0.3146551724137931,7.533746515294782e-06,0.021978125722540577,0.5768230585772683,0.1,0.1,0.75,0.6362679574848628,0.0,4.2548526734082985,44.28803051980334,H6 Denoising Teacher Manifold Projector
H6 Denoising Teacher Manifold Projector,232,9.113897642228334,2.3302142343731833,9.1261157455358,2.332075092367097,-0.012218103307467535,-0.13388065234713964,-0.0797940851915569,0.11637931034482758,0.16810344827586207,0.3448275862068966,0.625,5,8,False,0.28448275862068967,66,0.4090909090909091,0.006447066284150271,0.7155172413793104,0.1489463601532567,2.6787410145505598e-06,0.012696199330301684,0.4799098674701755,0.1,0.1,0.9,0.7310159556561302,0.0,4.2548526734082985,29.745121152231803,H6 Denoising Teacher Manifold Projector
H6 Denoising Teacher Manifold Projector,232,9.018817633653706,2.321005445769994,9.1261157455358,2.332075092367097,-0.10729811188209487,-1.1757259578590042,-0.4746693871851522,0.35344827586206895,0.646551724137931,0.4827586206896552,1.0,8,8,False,1.0,232,0.35344827586206895,0.056617465252994256,0.0,1.0,2.795179537707631e-05,0.05398566362143408,0.8380275031087101,0.1,0.2,0.0,0.21004817415199797,0.0,4.2548526734082985,90.56023284317186,H6 Denoising Teacher Manifold Projector
H6 Denoising Teacher Manifold Projector,232,9.053142375173485,2.3231584644284986,9.1261157455358,2.332075092367097,-0.072973370362316,-0.7996103963293613,-0.382347375071586,0.2025862068965517,0.4482758620689655,0.41379310344827586,1.0,8,8,False,0.6508620689655172,151,0.31125827814569534,0.03850549826470668,0.34913793103448276,0.5699233716475096,1.7277375045603173e-05,0.038407728383887535,0.7065683994724969,0.1,0.2,0.5,0.5453277693362517,0.0,4.2548526734082985,53.97970741435012,H6 Denoising Teacher Manifold Projector
H6 Denoising Teacher Manifold Projector,232,9.092289920128806,2.3272104017464565,9.1261157455358,2.332075092367097,-0.03382582540699626,-0.37064865615446696,-0.20859922631577812,0.1336206896551724,0.29310344827586204,0.41379310344827586,0.75,6,8,False,0.4267241379310345,99,0.31313131313131315,0.017848706384870173,0.5732758620689655,0.3146551724137931,9.388240988713264e-06,0.025265394798545344,0.5768230585772683,0.1,0.2,0.75,0.6362679574848628,0.0,4.2548526734082985,42.61457980747184,H6 Denoising Teacher Manifold Projector
H6 Denoising Teacher Manifold Projector,232,9.111120719961395,2.329709125084299,9.1261157455358,2.332075092367097,-0.014995025574406741,-0.1643089565822103,-0.10145330570171318,0.10775862068965517,0.17672413793103448,0.3448275862068966,0.625,5,8,False,0.28448275862068967,66,0.3787878787878788,0.00791235115450718,0.7155172413793104,0.1489463601532567,3.7047760763492183e-06,0.01552123833560839,0.4799098674701755,0.1,0.2,0.9,0.7310159556561302,0.0,4.2548526734082985,28.11901016395499,H6 Denoising Teacher Manifold Projector
H6 Denoising Teacher Manifold Projector,232,9.018534834692943,2.320925907586994,9.1261157455358,2.332075092367097,-0.10758091084285717,-1.1788247456493217,-0.47808000560473696,0.35344827586206895,0.646551724137931,0.4827586206896552,1.0,8,8,False,1.0,232,0.35344827586206895,0.05676668838519752,0.0,1.0,2.801120981457173e-05,0.05483172129718255,0.8380275031087101,0.1,0.35,0.0,0.21004817415199797,0.0,4.2548526734082985,90.55265736141544,H6 Denoising Teacher Manifold Projector
