epoch,residual_loss,model,teacher_loss
59.0,,denoising_patch_teacher,1.0199557029538684
60.0,,denoising_patch_teacher,1.0299227486054103
61.0,,denoising_patch_teacher,0.9554373472929001
62.0,,denoising_patch_teacher,0.9598014321592119
63.0,,denoising_patch_teacher,0.9523029128710429
64.0,,denoising_patch_teacher,0.9727910939190123
65.0,,denoising_patch_teacher,0.9888643821080526
66.0,,denoising_patch_teacher,0.9915663748979568
67.0,,denoising_patch_teacher,0.9875266634755664
68.0,,denoising_patch_teacher,1.0425457275576062
69.0,,denoising_patch_teacher,0.9030260874165429
70.0,,denoising_patch_teacher,0.8925857527388467
71.0,,denoising_patch_teacher,0.9122808691528108
72.0,,denoising_patch_teacher,0.8867302785317103
73.0,,denoising_patch_teacher,0.9001413418187035
74.0,,denoising_patch_teacher,0.9303721984227499
75.0,,denoising_patch_teacher,0.8709319416019652
76.0,,denoising_patch_teacher,0.8420930902163187
77.0,,denoising_patch_teacher,0.8617251995537016
78.0,,denoising_patch_teacher,0.92445041735967
79.0,,denoising_patch_teacher,0.8602343317535188
80.0,,denoising_patch_teacher,0.8685781889491611
81.0,,denoising_patch_teacher,0.883900331126319
82.0,,denoising_patch_teacher,0.8082854217953153
83.0,,denoising_patch_teacher,0.9130635079410341
84.0,,denoising_patch_teacher,0.893074651559194
85.0,,denoising_patch_teacher,0.8238768345779843
86.0,,denoising_patch_teacher,0.8107234752840466
87.0,,denoising_patch_teacher,0.9611675755845176
88.0,,denoising_patch_teacher,0.8302794347206751
89.0,,denoising_patch_teacher,0.83564825852712
90.0,,denoising_patch_teacher,0.852587471405665
91.0,,denoising_patch_teacher,0.7712790684567558
92.0,,denoising_patch_teacher,0.806612566113472
93.0,,denoising_patch_teacher,0.787439152598381
94.0,,denoising_patch_teacher,0.7744072162442737
95.0,,denoising_patch_teacher,0.781190941731135
96.0,,denoising_patch_teacher,0.7655319281750255
97.0,,denoising_patch_teacher,0.7578569451967875
98.0,,denoising_patch_teacher,0.7532197419140074
99.0,,denoising_patch_teacher,0.7791328935159577
100.0,,denoising_patch_teacher,0.7988182124164369
101.0,,denoising_patch_teacher,0.7522677034139633
102.0,,denoising_patch_teacher,0.803244122200542
103.0,,denoising_patch_teacher,0.8064873814582825
104.0,,denoising_patch_teacher,0.7312697453631295
105.0,,denoising_patch_teacher,0.7490185697873434
106.0,,denoising_patch_teacher,0.7736861159404119
107.0,,denoising_patch_teacher,0.7765984965695275
108.0,,denoising_patch_teacher,0.719148983558019
109.0,,denoising_patch_teacher,0.7864195356766382
110.0,,denoising_patch_teacher,0.7195718785127004
111.0,,denoising_patch_teacher,0.7850084602832794
112.0,,denoising_patch_teacher,0.7542393654584885
113.0,,denoising_patch_teacher,0.7143742110994127
114.0,,denoising_patch_teacher,0.7001409365071191
115.0,,denoising_patch_teacher,0.7079356362422308
116.0,,denoising_patch_teacher,0.7913615687025918
117.0,,denoising_patch_teacher,0.8655974268913269
118.0,,denoising_patch_teacher,0.7754081586996714
119.0,,denoising_patch_teacher,0.7629322210947672
120.0,,denoising_patch_teacher,0.7454182820187675
