variant,parent,n,mse,mae,parent_mse,parent_mae,mse_delta_vs_parent,mse_delta_pct_vs_parent,mae_delta_pct_vs_parent,harm_rate_vs_parent,win_rate_vs_parent,max_config_harm,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,split,oracle_pool,parent_method,oracle_mse_over_parent,incremental_oracle_delta_pct,oracle_gain_fraction_vs_LRBN_oracle,non_parent_selection_rate,oracle_family_share::residual,oracle_family_share::volatility,oracle_family_share::boundary,oracle_family_share::level,oracle_family_share::parent,oracle_family_share::amplitude,oracle_family_share::residual_distribution,oracle_family_share::smoothing_teacher,oracle_family_share::retrieval_memory,oracle_family_share::default,oracle_family_share::ensemble,ci95_low_delta_raw,ci95_high_delta_raw,p_bootstrap_delta_lt_zero
oracle::union_full_pool,SRA-BP-balanced,536,6.750907938178553,1.984625951162097,8.450890366618426,2.2512402439262127,-1.699982428439872,-20.116015622961022,-11.842995979622101,0.0,0.9682835820895522,0.0,8,8,False,1.0,536,0.0,inner_train,union_full_pool,SRA-BP-balanced,6.750907938178553,-20.116015622961022,0.8928976586508129,0.9682835820895522,0.20149253731343283,0.03731343283582089,0.09701492537313433,0.009328358208955223,0.03171641791044776,,0.34328358208955223,0.21641791044776118,0.061567164179104475,0.0018656716417910447,,,,
oracle::sra_complement_atom_pool,SRA-BP-balanced,536,6.900429091554256,2.0130101934807243,8.450890366618426,2.2512402439262127,-1.55046127506417,-18.346720948527768,-10.582169096790533,0.0,0.9533582089552238,0.0,8,8,False,1.0,536,0.0,inner_train,sra_complement_atom_pool,SRA-BP-balanced,6.900429091554256,-18.346720948527768,0.8143632658627316,0.9533582089552238,0.24067164179104478,0.03731343283582089,,0.009328358208955223,0.04664179104477612,,0.373134328358209,0.2294776119402985,0.06343283582089553,,,,,
oracle::tae_old_pool,LRBN,232,7.790861257384875,2.1215625209435047,9.1261157455358,2.332075092367097,-1.335254488150927,-14.631136881438033,-9.026834993860984,0.0,0.9913793103448276,0.0,8,8,False,1.0,232,0.0,inner_calib,tae_old_pool,LRBN,7.790861257384875,-14.631136881438033,0.7045671471820661,0.9913793103448276,0.4396551724137931,0.3017241379310345,0.1724137931034483,0.06896551724137931,0.008620689655172414,0.008620689655172414,,,,,,,,
oracle::cga_new_family_pool,LRBN,232,7.486725377905647,2.078064143299026,9.1261157455358,2.332075092367097,-1.6393903676301553,-17.963725330085996,-10.892056984367517,0.0,1.0,0.0,8,8,False,1.0,232,0.0,inner_calib,cga_new_family_pool,LRBN,7.486725377905647,-17.963725330085996,0.8650490260013849,1.0,,,,,,,0.5560344827586207,0.3017241379310345,0.14224137931034483,,,,,
oracle::union_full_pool,LRBN,232,7.230974187423648,2.0355935175356574,9.1261157455358,2.332075092367097,-1.8951415581121531,-20.76613543897447,-12.713208701147993,0.0,1.0,0.0,8,8,False,1.0,232,0.0,inner_calib,union_full_pool,LRBN,7.230974187423648,-20.76613543897447,0.9999999947233493,1.0,0.14224137931034483,0.04741379310344827,0.10775862068965517,0.004310344827586207,,,0.38362068965517243,0.23275862068965517,0.07758620689655173,0.004310344827586207,,,,
oracle::sra_complement_atom_pool,LRBN,232,7.367105221113606,2.059395655142394,9.1261157455358,2.332075092367097,-1.7590105244221954,-19.27447088708247,-11.692566716566239,0.0,1.0,0.0,8,8,False,1.0,232,0.0,inner_calib,sra_complement_atom_pool,LRBN,7.367105221113606,-19.27447088708247,0.9281684038910272,1.0,0.16810344827586207,0.05172413793103448,,0.034482758620689655,,,0.4267241379310345,0.23706896551724138,0.08189655172413793,,,,,
oracle::tae_old_pool,SRA-BP-safe,232,7.790861257384875,2.1215625209435047,9.012225826912259,2.308786795481855,-1.2213645695273836,-13.552307627766282,-8.109205843251331,0.0,0.9741379310344828,0.0,8,8,False,1.0,232,0.0,inner_calib,tae_old_pool,SRA-BP-safe,7.790861257384875,-13.552307627766282,0.6444714157919331,0.9741379310344828,0.4396551724137931,0.3017241379310345,0.15517241379310345,0.06896551724137931,0.02586206896551724,0.008620689655172414,,,,,,,,
oracle::cga_new_family_pool,SRA-BP-safe,232,7.4682059262421205,2.0741955009437913,9.012225826912259,2.308786795481855,-1.5440199006701387,-17.132503430463803,-10.160803673213273,0.0,0.9698275862068966,0.0,8,8,False,1.0,232,0.0,inner_calib,cga_new_family_pool,SRA-BP-safe,7.4682059262421205,-17.132503430463803,0.8147253622895388,0.9698275862068966,,,,,0.03017241379310345,,0.5344827586206896,0.2974137931034483,0.13793103448275862,,,,,
oracle::union_full_pool,SRA-BP-safe,232,7.230974187423648,2.0355935175356574,9.012225826912259,2.308786795481855,-1.7812516394886098,-19.76483580996121,-11.83276330657914,0.0,0.9870689655172413,0.0,8,8,False,1.0,232,0.0,inner_calib,union_full_pool,SRA-BP-safe,7.230974187423648,-19.76483580996121,0.9399042633332164,0.9870689655172413,0.14224137931034483,0.04741379310344827,0.09482758620689655,0.004310344827586207,0.01293103448275862,,0.38362068965517243,0.23275862068965517,0.07758620689655173,0.004310344827586207,,,,
oracle::sra_complement_atom_pool,SRA-BP-safe,232,7.359024878501845,2.057492666519028,9.012225826912259,2.308786795481855,-1.6532009484104142,-18.34398048081791,-10.884250047088297,0.0,0.9741379310344828,0.0,8,8,False,1.0,232,0.0,inner_calib,sra_complement_atom_pool,SRA-BP-safe,7.359024878501845,-18.34398048081791,0.8723363870158005,0.9741379310344828,0.16810344827586207,0.05172413793103448,,0.01293103448275862,0.02586206896551724,,0.4224137931034483,0.23706896551724138,0.08189655172413793,,,,,
oracle::tae_old_pool,SRA-BP-balanced,232,7.790861257384875,2.1215625209435047,8.93610911777801,2.2963485528433965,-1.145247860393134,-12.815956519970387,-7.6114765296548565,0.0,0.9353448275862069,0.0,8,8,False,1.0,232,0.0,inner_calib,tae_old_pool,SRA-BP-balanced,7.790861257384875,-12.815956519970387,0.6043072874676976,0.9353448275862069,0.4396551724137931,0.3017241379310345,0.11206896551724138,0.06896551724137931,0.06465517241379311,0.008620689655172414,,,,0.004310344827586207,,,,
oracle::cga_new_family_pool,SRA-BP-balanced,232,7.4634521640912315,2.073547437389049,8.93610911777801,2.2963485528433965,-1.4726569536867777,-16.479845228266125,-9.702408382570175,0.0,0.9612068965517241,0.0,8,8,False,1.0,232,0.0,inner_calib,cga_new_family_pool,SRA-BP-balanced,7.4634521640912315,-16.479845228266125,0.777069628182852,0.9612068965517241,,,,,0.03879310344827586,,0.5387931034482759,0.29310344827586204,0.12931034482758622,,,,,
oracle::union_full_pool,SRA-BP-balanced,232,7.230974187423648,2.0355935175356574,8.93610911777801,2.2963485528433965,-1.7051349303543601,-19.081402274440983,-11.355202756539086,0.0,0.978448275862069,0.0,8,8,False,1.0,232,0.0,inner_calib,union_full_pool,SRA-BP-balanced,7.230974187423648,-19.081402274440983,0.8997401350089808,0.978448275862069,0.14224137931034483,0.04741379310344827,0.08620689655172414,0.004310344827586207,0.021551724137931036,,0.38362068965517243,0.23275862068965517,0.07758620689655173,0.004310344827586207,,,,
oracle::sra_complement_atom_pool,SRA-BP-balanced,232,7.357660450121032,2.0575217804317907,8.93610911777801,2.2963485528433965,-1.578448667656977,-17.663712977165304,-10.40028401071153,0.0,0.9655172413793104,0.0,8,8,False,1.0,232,0.0,inner_calib,sra_complement_atom_pool,SRA-BP-balanced,7.357660450121032,-17.663712977165304,0.8328922198827341,0.9655172413793104,0.16810344827586207,0.04741379310344827,,0.008620689655172414,0.034482758620689655,,0.4224137931034483,0.23706896551724138,0.08189655172413793,,,,,
oracle::tae_old_pool,LRBN,768,4.2176680130401145,1.523300928973863,4.894157596003544,1.682162338434372,-0.67648958296343,-13.82239064254074,-9.443880943380108,0.0,0.9869791666666666,0.0,8,8,False,1.0,768,0.0,test,tae_old_pool,LRBN,4.2176680130401145,-13.82239064254074,0.3718221170939209,0.9869791666666666,0.3723958333333333,0.265625,0.22265625,0.11458333333333333,0.013020833333333334,0.01171875,,,,,,-0.7432106632715961,-0.6173347613804273,1.0
oracle::cga_new_family_pool,LRBN,768,3.8177637552908035,1.4467234366931105,4.894157596003544,1.682162338434372,-1.0763938407127407,-21.993444579560627,-13.996205655202662,0.0,1.0,0.0,8,8,False,1.0,768,0.0,test,cga_new_family_pool,LRBN,3.8177637552908035,-21.993444579560627,0.5916233549782592,1.0,,,,,,,0.6119791666666666,0.2864583333333333,0.1015625,,,-1.1710482126643231,-0.9823985711781359,1.0
oracle::union_full_pool,LRBN,768,3.074767225864992,1.3221820683229766,4.894157596003544,1.682162338434372,-1.8193903701385523,-37.174740100456724,-21.399853019325842,0.0,1.0,0.0,8,8,False,1.0,768,0.0,test,union_full_pool,LRBN,3.074767225864992,-37.174740100456724,0.9999999945036535,1.0,0.1328125,0.041666666666666664,0.13541666666666666,0.013020833333333334,,,0.3528645833333333,0.19921875,0.049479166666666664,0.07552083333333333,,-2.087688531220485,-1.5644267072510374,1.0
oracle::sra_complement_atom_pool,LRBN,768,3.7603362221439447,1.430881184196943,4.894157596003544,1.682162338434372,-1.1338213738595992,-23.16683411398048,-14.937984699948977,0.0,1.0,0.0,8,8,False,1.0,768,0.0,test,sra_complement_atom_pool,LRBN,3.7603362221439447,-23.16683411398048,0.623187517223904,1.0,0.17447916666666666,0.045572916666666664,,0.05859375,,,0.4609375,0.203125,0.055989583333333336,,0.0013020833333333333,-1.2292893047487543,-1.0381226074419865,1.0
oracle::tae_old_pool,SRA-BP-safe,768,4.2176680130401145,1.523300928973863,4.813148680992863,1.6609504547937923,-0.5954806679527483,-12.37195661682149,-8.287395002897846,0.0,0.9544270833333334,0.0,8,8,False,1.0,768,0.0,test,tae_old_pool,SRA-BP-safe,4.2176680130401145,-12.37195661682149,0.32729681021365004,0.9544270833333334,0.3723958333333333,0.265625,0.19010416666666666,0.11458333333333333,0.045572916666666664,0.01171875,,,,,,-0.6519758364870853,-0.5447421507455062,1.0
oracle::cga_new_family_pool,SRA-BP-safe,768,3.799207802259218,1.441934875787406,4.813148680992863,1.6609504547937923,-1.0139408787336448,-21.066061820011793,-13.186159590471425,0.0,0.9479166666666666,0.0,8,8,False,1.0,768,0.0,test,cga_new_family_pool,SRA-BP-safe,3.799207802259218,-21.066061820011793,0.5572970429009468,0.9479166666666666,,,,,0.052083333333333336,,0.58203125,0.2734375,0.09244791666666667,,,-1.1085841492343558,-0.921650213782701,1.0
oracle::union_full_pool,SRA-BP-safe,768,3.074767225864992,1.3221820683229766,4.813148680992863,1.6609504547937923,-1.7383814551278707,-36.11734369189569,-20.396055972257667,0.0,0.9765625,0.0,8,8,False,1.0,768,0.0,test,union_full_pool,SRA-BP-safe,3.074767225864992,-36.11734369189569,0.9554746876233827,0.9765625,0.1328125,0.041666666666666664,0.11197916666666667,0.013020833333333334,0.0234375,,0.3528645833333333,0.19921875,0.049479166666666664,0.07552083333333333,,-1.9953772236466896,-1.482269914060248,1.0
oracle::sra_complement_atom_pool,SRA-BP-safe,768,3.7538394607416365,1.4289962573474015,4.813148680992863,1.6609504547937923,-1.0593092202512253,-22.00865355008824,-13.965148411285583,0.0,0.9583333333333334,0.0,8,8,False,1.0,768,0.0,test,sra_complement_atom_pool,SRA-BP-safe,3.7538394607416365,-22.00865355008824,0.5822330555416895,0.9583333333333334,0.16927083333333334,0.044270833333333336,,0.029947916666666668,0.041666666666666664,,0.4557291666666667,0.203125,0.0546875,,0.0013020833333333333,-1.1545918092408363,-0.9670168802959213,1.0
oracle::tae_old_pool,SRA-BP-balanced,768,4.2176680130401145,1.523300928973863,4.766982513125085,1.6456270785485227,-0.5493145000849712,-11.523316844989337,-7.433406415456731,0.0,0.8997395833333334,0.0,8,8,False,1.0,768,0.0,test,tae_old_pool,SRA-BP-balanced,4.2176680130401145,-11.523316844989337,0.3019222845638764,0.8997395833333334,0.3723958333333333,0.265625,0.13541666666666666,0.11458333333333333,0.10026041666666667,0.01171875,,,,,,-0.6023396098660017,-0.49953699302909377,1.0
oracle::cga_new_family_pool,SRA-BP-balanced,768,3.7951975452765567,1.4403961281757287,4.766982513125085,1.6456270785485227,-0.9717849678485285,-20.38574639479602,-12.471291448769964,0.0,0.9140625,0.0,8,8,False,1.0,768,0.0,test,cga_new_family_pool,SRA-BP-balanced,3.7951975452765567,-20.38574639479602,0.534126693455708,0.9140625,,,,,0.0859375,,0.5625,0.26953125,0.08203125,,,-1.0677485804437594,-0.8806825322742593,1.0
oracle::union_full_pool,SRA-BP-balanced,768,3.074767225864992,1.3221820683229766,4.766982513125085,1.6456270785485227,-1.6922152872600933,-35.49866774318966,-19.65481806153491,0.0,0.9596354166666666,0.0,8,8,False,1.0,768,0.0,test,union_full_pool,SRA-BP-balanced,3.074767225864992,-35.49866774318966,0.9301001619736089,0.9596354166666666,0.1328125,0.041666666666666664,0.09505208333333333,0.013020833333333334,0.040364583333333336,,0.3528645833333333,0.19921875,0.049479166666666664,0.07552083333333333,,-1.9471765449362648,-1.4417097402110644,1.0
oracle::sra_complement_atom_pool,SRA-BP-balanced,768,3.752533161203111,1.428346002769695,4.766982513125085,1.6456270785485227,-1.014449351921974,-21.280744097566625,-13.203542727925932,0.0,0.9348958333333334,0.0,8,8,False,1.0,768,0.0,test,sra_complement_atom_pool,SRA-BP-balanced,3.752533161203111,-21.280744097566625,0.5575765173853016,0.9348958333333334,0.16796875,0.044270833333333336,,0.015625,0.06510416666666667,,0.4505208333333333,0.20182291666666666,0.053385416666666664,,0.0013020833333333333,-1.1116922947077699,-0.9232496293476825,1.0
