variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,selected_nonharm_rate,mean_expected_harm,mean_accept_score,tau_leave,tau_family_gain,tau_family_harm,tau_candidate_gain,tau_candidate_harm,beta_harm,lambda_existing,lambda_smoothing,lambda_residual,lambda_memory,calibration_score,target_variant,tau_select,tau_harm,lam,residual_cap,top_k_family,top_k_candidate,mix_temp,max_coverage,uncertainty_beta,retrieval_weight,calibration_feasible_safe,calibration_feasible_balanced
FamilyMix Selector,232,9.083013388227654,2.327830854563616,9.1261157455358,2.332075092367097,-0.04310235730814771,-0.4722968507385128,-0.18199404466748476,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.022743608199721016,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,0.6728309852670669,FamilyMix Selector,0.1,0.15,0.5,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.083013388227654,2.327830854563616,9.1261157455358,2.332075092367097,-0.04310235730814771,-0.4722968507385128,-0.18199404466748476,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.022743608199721016,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,0.6728309852670669,FamilyMix Selector,0.1,0.15,0.5,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.083013388227654,2.327830854563616,9.1261157455358,2.332075092367097,-0.04310235730814771,-0.4722968507385128,-0.18199404466748476,0.0,0.1336206896551724,0.0,0.5,4,8,False,0.1336206896551724,31,0.0,0.022743608199721016,1.0,1.0,0.01632157171542871,0.044436204414501024,0.45,,,,,1.5,,,,,0.6728309852670669,FamilyMix Selector,0.1,0.15,0.5,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.095329647725816,2.328653539627407,9.1261157455358,2.332075092367097,-0.030786097809984876,-0.3373406456225418,-0.1467170905524193,0.0,0.25,0.0,0.625,5,8,False,0.25,58,0.0,0.016244748322761172,1.0,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.9377643879222348,FamilyMix Selector,-0.1,0.25,0.2,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.095090587608258,2.328572701085146,9.1261157455358,2.332075092367097,-0.03102515792754362,-0.339960162226993,-0.15018346872261581,0.0,0.25862068965517243,0.0,0.625,5,8,False,0.5,116,0.0,0.016370891995392912,0.5172413793103449,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.9326219978651487,FamilyMix Selector,-0.1,0.25,0.2,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.09465463261664,2.3284667336446985,9.1261157455358,2.332075092367097,-0.03146111291916114,-0.34473716706997126,-0.15472738072355316,0.0,0.28448275862068967,0.0,0.625,5,8,False,0.771551724137931,179,0.0,0.01660093021467581,0.3687150837988827,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.9232442286365126,FamilyMix Selector,-0.1,0.25,0.2,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.07476431155626,2.3263997404303636,9.1261157455358,2.332075092367097,-0.05135143397954136,-0.5626866385996853,-0.2433605989349592,0.0,0.25,0.0,0.625,5,8,False,0.25,58,0.0,0.027096357783284303,1.0,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.4953862057346289,FamilyMix Selector,-0.1,0.25,0.35,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.074367110367364,2.3262698188631497,9.1261157455358,2.332075092367097,-0.05174863516843933,-0.5670389961583241,-0.2489316702560349,0.0,0.25862068965517243,0.0,0.625,5,8,False,0.5,116,0.0,0.027305946974710064,0.5172413793103449,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.4868420643474748,FamilyMix Selector,-0.1,0.25,0.35,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.07364600652768,2.3260924085479124,9.1261157455358,2.332075092367097,-0.05246973900812223,-0.574940537832793,-0.2565390717096647,0.0,0.28448275862068967,0.0,0.625,5,8,False,0.771551724137931,179,0.0,0.027686448279634332,0.3687150837988827,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.4713304965745204,FamilyMix Selector,-0.1,0.25,0.35,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
FamilyMix Selector,232,9.056362607262074,2.324386406276887,9.1261157455358,2.332075092367097,-0.06975313827372744,-0.7643244962284814,-0.32969290236005644,0.0,0.25,0.0,0.625,5,8,False,0.25,58,0.0,0.036806294288195096,1.0,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.09954961800761675,FamilyMix Selector,-0.1,0.25,0.5,0.35,2.0,2.0,0.35,0.25,0.5,0.5,True,True
FamilyMix Selector,232,9.05582539701626,2.3242124734152516,9.1261157455358,2.332075092367097,-0.07029034851953907,-0.7702110120277945,-0.33715118967930724,0.0,0.25862068965517243,0.0,0.625,5,8,False,0.5,116,0.0,0.0370897613678322,0.5172413793103449,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.08799376061556152,FamilyMix Selector,-0.1,0.25,0.5,0.35,2.0,2.0,0.35,0.5,0.5,0.5,True,True
FamilyMix Selector,232,9.054854987810497,2.3239684020468263,9.1261157455358,2.332075092367097,-0.07126075772530352,-0.7808443332759339,-0.3476170348048594,0.0,0.28448275862068967,0.0,0.625,5,8,False,0.771551724137931,179,0.0,0.03760181240512284,0.3687150837988827,1.0,0.060091503568385066,0.058175721337748273,0.45,,,,,1.5,,,,,0.0671194186216092,FamilyMix Selector,-0.1,0.25,0.5,0.35,2.0,2.0,0.35,1.0,0.5,0.5,True,True
