variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,rho,group_lasso,tau_score,tau_harm,beta_harm,residual_cap,temp,shrink,width_coef,center_mode,lowpass_kernel,local_shrink,global_shrink,mask_quantile,patch_len,stride,codebook_size,retrieval_k,calibration_score,target_variant
H1 Residual Atom Simplex Editor,232,9.041884857887194,2.323087294642852,9.1261157455358,2.332075092367097,-0.08423088764860712,-0.9229653656048942,-0.3853991543892566,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.8275862068965517,192,0.0,0.04444569686290707,0.7758620689655172,0.23275862068965517,4.82550426164541e-05,0.023225221272279984,0.048141373959118744,0.5,0.01,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,0.14366372850789366,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.031795428636281,2.3221158205592944,9.1261157455358,2.332075092367097,-0.09432031689952064,-1.0335209351503791,-0.4270562212037651,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.8275862068965517,192,0.0,0.04976953621120659,0.7758620689655172,0.23275862068965517,6.060691432199783e-05,0.025930965691106027,0.048141373959118744,0.5,0.01,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.12660702148657677,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.025600452656313,2.3195343006605302,9.1261157455358,2.332075092367097,-0.1005152928794885,-1.1014027826517103,-0.5377524803484177,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.8491379310344828,197,0.015228426395939087,0.05303840861852706,0.7456896551724138,0.24329501915708812,6.141142748771717e-05,0.027678589544104147,0.07740173537005743,0.5,0.01,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.29255504120752196,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.01142484201139,2.317457217755145,9.1261157455358,2.332075092367097,-0.11469090352441139,-1.256732947473739,-0.6268183471927931,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.8491379310344828,197,0.015228426395939087,0.06051838314045364,0.7456896551724138,0.24329501915708812,9.53350601647037e-05,0.033644512024304955,0.07740173537005743,0.5,0.01,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.672284441687348,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.030822600143331,2.3217642351081915,9.1261157455358,2.332075092367097,-0.09529314539246982,-1.0441807658933724,-0.44213229876001764,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.05028286382182845,0.7758620689655172,0.23275862068965517,7.022222095644403e-05,0.02790776652471363,0.04873881153480371,0.75,0.0,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.15266668054822585,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.01065940990841,2.319850236889881,9.1261157455358,2.332075092367097,-0.11545633562739029,-1.2651202189426123,-0.5242050508925707,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.06092227492134122,0.7758620689655172,0.23275862068965517,0.00010826403590240612,0.03423533830761609,0.04873881153480371,0.75,0.0,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.6927884665828488,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.009581713411675,2.317274873453314,9.1261157455358,2.332075092367097,-0.1165340321241253,-1.2769291475777853,-0.6346373193024858,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.013513513513513514,0.06149093771406786,0.7456896551724138,0.24329501915708812,8.462039265778535e-05,0.03256410217845987,0.07987087603609537,0.75,0.0,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.7216572789998211,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,8.985031431583959,2.3139280528357573,9.1261157455358,2.332075092367097,-0.14108431395184182,-1.5459404387486695,-0.7781498766021869,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.013513513513513514,0.07444526378701254,0.7456896551724138,0.24329501915708812,0.00015253861499427347,0.04302480519256782,0.07987087603609537,0.75,0.0,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-1.3792983523590454,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.030544337684661,2.3217146619295885,9.1261157455358,2.332075092367097,-0.09557140785113827,-1.0472298446704074,-0.4442580098296428,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.05042969320035643,0.7758620689655172,0.23275862068965517,7.047879005833154e-05,0.027986232821873264,0.04843450921832254,0.75,0.001,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.1601206406811002,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.010174184706369,2.319770416254804,9.1261157455358,2.332075092367097,-0.11594156082943174,-1.2704371052832988,-0.5276277809322552,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.9353448275862069,217,0.0,0.06117831130944325,0.7758620689655172,0.23275862068965517,0.0001088394788138161,0.03438574909980501,0.04843450921832254,0.75,0.001,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.7057864445665962,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.009401790620519,2.3172442314123463,9.1261157455358,2.332075092367097,-0.11671395491528186,-1.278900663126965,-0.6359512581604838,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.013513513513513514,0.06158587668547979,0.7456896551724138,0.24329501915708812,8.48451235306107e-05,0.03262760535916766,0.07950841977526663,0.75,0.001,0.0,0.35,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.7264769636913586,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,8.984659997617792,2.313864160799567,9.1261157455358,2.332075092367097,-0.14145574791800994,-1.5500104503079906,-0.7808895840895368,0.01293103448275862,0.2413793103448276,0.034482758620689655,1.0,8,8,False,0.9568965517241379,222,0.013513513513513514,0.0746412565151643,0.7456896551724138,0.24329501915708812,0.00015300637754301922,0.04313671997094932,0.07950841977526663,0.75,0.001,0.0,0.35,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-1.3892481457629196,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.028283806486966,2.3214315352637254,9.1261157455358,2.332075092367097,-0.09783193904883673,-1.0719997605716396,-0.4563985564859571,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.8275862068965517,192,0.0,0.051622496543248804,0.7758620689655172,0.23275862068965517,7.474599951386577e-05,0.029067597629210785,0.048141373959118744,0.75,0.01,0.0,0.2,1.5,0.2,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.2206746568691037,H1 Residual Atom Simplex Editor
H1 Residual Atom Simplex Editor,232,9.004434754070923,2.319101468569667,9.1261157455358,2.332075092367097,-0.12168099146487885,-1.333327285390473,-0.5563124354040666,0.0,0.22413793103448276,0.0,0.5,4,8,False,0.8275862068965517,192,0.0,0.06420680835262954,0.7758620689655172,0.23275862068965517,0.00011929108503241056,0.036446716194910106,0.048141373959118744,0.75,0.01,0.0,0.2,1.5,0.35,0.35,0.5,1.0,q50,5,0.25,0.25,0.85,16,8,16,9,-0.8595315359693592,H1 Residual Atom Simplex Editor
