split,method,dataset,backbone,horizon,seed,n,coverage,mean_strength,lrbn_mse,method_mse,method_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn
val,LRBN-BP-short-bridge,ETTh1,PatchTST,192,2026,96,1.0,1.0,11.609037853274186,11.556742946029509,2.7187457820868595,-0.052294907244675205,-0.45046719513350186,0.23958333333333334,0.7604166666666666
val,LRBN-BP-short-bridge,ETTm1,DLinear,96,2026,96,1.0,1.0,5.436033967295309,5.391832712166881,1.7143507882975257,-0.044201255128429005,-0.8131158729515549,0.15625,0.84375
val,LRBN-BP-short-bridge,ETTm1,DLinear,192,2026,96,1.0,1.0,8.33279445849474,8.308494996397146,2.207240155634223,-0.02429946209759472,-0.2916124019315269,0.15625,0.84375
val,LRBN-BP-short-bridge,ETTm1,PatchTST,96,2026,96,1.0,1.0,5.742462045489039,5.702266813183566,1.7688562890489365,-0.04019523230547454,-0.6999651354605282,0.2708333333333333,0.7291666666666666
val,LRBN-BP-short-bridge,ETTm1,PatchTST,192,2026,96,1.0,1.0,8.575089807437628,8.537342563025584,2.230755105082194,-0.03774724441204516,-0.44019649024881446,0.125,0.875
test,LRBN-BP-short-bridge,ETTh1,DLinear,96,2026,96,1.0,1.0,5.294718415187439,5.243534237781428,1.7528273297363823,-0.05118417740601019,-0.9667025381845289,0.15625,0.84375
test,LRBN-BP-short-bridge,ETTh1,DLinear,192,2026,96,1.0,1.0,6.7713172839613245,6.751336949927766,2.013722444957384,-0.019980334033557763,-0.29507307317258613,0.17708333333333334,0.8229166666666666
test,LRBN-BP-short-bridge,ETTh1,PatchTST,96,2026,96,1.0,1.0,5.8042865388731295,5.753958082382257,1.8404494865374275,-0.050328456490874085,-0.8670911759282998,0.2604166666666667,0.7395833333333334
test,LRBN-BP-short-bridge,ETTh1,PatchTST,192,2026,96,1.0,1.0,7.242316015180876,7.2233252133831085,2.0890452353341007,-0.018990801797768877,-0.2622200098937696,0.21875,0.78125
test,LRBN-BP-short-bridge,ETTm1,DLinear,96,2026,96,1.0,1.0,2.8177423433450954,2.7854031911741095,1.2629726644647894,-0.03233915217098639,-1.1476972737622502,0.13541666666666666,0.8645833333333334
test,LRBN-BP-short-bridge,ETTm1,DLinear,192,2026,96,1.0,1.0,3.994698335172625,3.9818088635521907,1.5328229457474771,-0.012889471620434328,-0.32266445440142966,0.13541666666666666,0.8645833333333334
test,LRBN-BP-short-bridge,ETTm1,PatchTST,96,2026,96,1.0,1.0,3.013168467192729,2.9809173626578613,1.3167933321777776,-0.03225110453486687,-1.070338574792033,0.17708333333333334,0.8229166666666666
