config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,raw_gap,post_lrbn_gap,repair_ratio,conflict_cosine,norm_ratio,tail_volatility,anchor_disagreement,true_boundary_jump,mse_lrbn,mse_bp,delta_mse_vs_lrbn,harm_vs_lrbn,effective_strength,case_type
ETTh1_PatchTST_192_seed2026,test::test_00077,test_00077,test,ETTh1,PatchTST,192,2026,0.8006179296054794,1.1057886125448333,-0.38116890732019604,0.0771409624068294,0.31441485513322265,0.6414888812858344,0.08038587236301054,0.32892230271717365,28.34821383628231,30.09210307554626,1.7438892392639502,1,1.0,top_harm
ETTh1_PatchTST_192_seed2026,test::test_00081,test_00081,test,ETTh1,PatchTST,192,2026,4.103053613677258,4.0887007896520995,0.0034980890442506407,-0.10537339027567742,0.5069485405003529,0.43574699926907506,0.8826222876542215,0.16064344704018227,7.764260522114083,9.463591243608091,1.6993307214940083,1,1.0,top_harm
ETTh1_PatchTST_96_seed2026,test::test_00001,test_00001,test,ETTh1,PatchTST,96,2026,8.680241536703335,7.544147760923083,0.13088273963996488,0.023709298162760486,1.2910978992604913,0.5029584812288629,0.9695963017500593,0.14116493239467334,2.973669142240681,4.5713209494862035,1.5976518072455224,1,1.0,top_harm
ETTm1_DLinear_192_seed2026,test::test_00020,test_00020,test,ETTm1,DLinear,192,2026,3.2095591485972497,2.2786490651375844,0.2900429812925912,-0.48424467654096554,0.17796637982142885,0.34406491635545555,0.6062810245508857,0.406900829886894,15.3891571591087,16.963875524872762,1.5747183657640615,1,1.0,top_harm
ETTh1_DLinear_96_seed2026,test::test_00003,test_00003,test,ETTh1,DLinear,96,2026,3.9949680910191123,4.080559156035937,-0.021424714145671375,-0.47046998392789546,0.8398506483063217,0.6528485185809518,0.39503806165312294,0.8608428816252458,5.489042955440684,6.901977162777826,1.412934207337142,1,1.0,top_harm
ETTh1_DLinear_192_seed2026,test::test_00069,test_00069,test,ETTh1,DLinear,192,2026,7.1641674049536315,2.7376068641422857,0.6178750856593036,0.7196155124518727,0.16100773845267896,0.465894068540628,0.06525083429778782,0.15024874692925128,6.0729484319439235,7.34979638678297,1.2768479548390461,1,1.0,top_harm
ETTm1_PatchTST_192_seed2026,test::test_00008,test_00008,test,ETTm1,PatchTST,192,2026,1.501000196678549,6.71043319063295,-3.4706409487889696,0.00917812763568594,0.5108914752021502,0.18083541934280692,0.33713896806406995,0.38709230887617535,10.393640208198615,11.662680298164622,1.2690400899660066,1,1.0,top_harm
ETTh1_PatchTST_192_seed2026,test::test_00064,test_00064,test,ETTh1,PatchTST,192,2026,0.5338667427379178,1.2683021733755573,-1.3756905026423367,-0.1412241029382485,0.3202825380236188,1.0339659802914227,0.1632548838332416,0.0,9.201360987976978,10.446884234493991,1.2455232465170134,1,1.0,top_harm
ETTm1_PatchTST_96_seed2026,test::test_00091,test_00091,test,ETTm1,PatchTST,96,2026,2.4904903776231317,2.78465336346563,-0.11811446804414172,-0.13207306829612778,0.6080956383857735,0.28149564692118106,0.0751934422367593,0.49734481343223397,12.338586573845442,13.570376987125934,1.2317904132804927,1,1.0,top_harm
ETTm1_PatchTST_192_seed2026,test::test_00048,test_00048,test,ETTm1,PatchTST,192,2026,3.141471769985441,6.410406331759058,-1.0405742134539389,-0.0172710752651479,0.8249585734767524,0.44716814374127295,0.020946632262977584,1.1002574912506886,4.059758604195067,5.284955712384087,1.22519710818902,1,1.0,top_harm
ETTm1_DLinear_192_seed2026,test::test_00010,test_00010,test,ETTm1,DLinear,192,2026,5.317815751395412,5.818806883811793,-0.0942099364174569,0.5595240687623128,0.2597024752626992,0.22515687943603796,0.11414287406054466,1.2524600656499592,7.892913914124304,9.099456004534366,1.2065420904100614,1,1.0,top_harm
ETTh1_DLinear_192_seed2026,test::test_00030,test_00030,test,ETTh1,DLinear,192,2026,1.5161662939766551,3.8874427915821075,-1.5639949387087522,-0.6342356652230005,0.2076092957608365,0.2927430861398859,0.3043623603260491,2.1623052087984194,6.768487088892516,7.930954249499025,1.162467160606509,1,1.0,top_harm
ETTm1_DLinear_192_seed2026,test::test_00027,test_00027,test,ETTm1,DLinear,192,2026,4.627039255759512,3.484101822415019,0.24701269843677143,-0.4509744208320909,0.33477028992566016,0.3964440106525302,0.5557743020778003,2.4845871637175985,4.493346143077545,5.611231042956386,1.1178848998788409,1,1.0,top_harm
ETTh1_PatchTST_96_seed2026,test::test_00021,test_00021,test,ETTh1,PatchTST,96,2026,1.100815171792276,1.23873163771264,-0.12528574530305625,-0.2144613654847603,0.15687095596502595,0.6745728247830911,0.4137927101096742,0.4180423367790974,6.5849418562736775,7.699755747420897,1.1148138911472198,1,1.0,top_harm
