split,method,segment,rows,mean_delta_mse_vs_lrbn,lrbn_mse,method_mse,delta_pct_vs_lrbn
val,LRBN-BP-conflict-filter,early,768,-0.34780526619026847,6.148145680022889,5.800340413832621,-5.657075868496105
val,LRBN-BP-conflict-filter,late,768,-0.011612540433834534,11.228785292363783,11.21717275192995,-0.10341760146923029
val,LRBN-BP-conflict-filter,mid,768,-0.07801069495589782,8.905890364225602,8.827879669269704,-0.8759449272098341
val,LRBN-BP-gap-strength,early,768,-0.4875943842359085,6.148145680022889,5.660551295786981,-7.930755203592016
val,LRBN-BP-gap-strength,late,768,-0.032341826615596966,11.228785292363783,11.196443465748187,-0.28802604863045905
val,LRBN-BP-gap-strength,mid,768,-0.14353064245851102,8.905890364225602,8.76235972176709,-1.6116372022038492
val,LRBN-BP-repair-gate,early,768,-0.4394437582079462,6.148145680022889,5.708701921814943,-7.147582057482278
val,LRBN-BP-repair-gate,late,768,-0.012782881385633875,11.228785292363783,11.21600241097815,-0.11384028674002354
val,LRBN-BP-repair-gate,mid,768,-0.08109411434605755,8.905890364225602,8.824796249879544,-0.910567174515772
val,LRBN-BP-robust-anchor,early,768,-0.3742745318919294,6.148145680022889,5.773871148130961,-6.087600241798029
val,LRBN-BP-robust-anchor,late,768,-0.012204540492312989,11.228785292363783,11.21658075187147,-0.10868976620065571
val,LRBN-BP-robust-anchor,mid,768,-0.08427620631026365,8.905890364225602,8.821614157915338,-0.9462973691453294
val,LRBN-BP-safe-controller,early,768,-0.0637094332593852,6.148145680022889,6.084436246763503,-1.0362381841857224
val,LRBN-BP-safe-controller,late,768,0.0,11.228785292363783,11.228785292363783,0.0
val,LRBN-BP-safe-controller,mid,768,0.0,8.905890364225602,8.905890364225602,0.0
val,LRBN-BP-short-bridge,early,768,-0.21432718308404752,6.148145680022889,5.933818496938842,-3.4860459379135094
val,LRBN-BP-short-bridge,late,768,0.0,11.228785292363783,11.228785292363783,0.0
val,LRBN-BP-short-bridge,mid,768,0.0,8.905890364225602,8.905890364225602,0.0
val,LRBN-BP-stage3-gated,early,768,-0.24863325382705134,6.148145680022889,5.899512426195837,-4.044036468272535
val,LRBN-BP-stage3-gated,late,768,-0.03532984485166526,11.228785292363783,11.19345544751212,-0.3146363912063215
val,LRBN-BP-stage3-gated,mid,768,-0.06300792935630982,8.905890364225602,8.842882434869292,-0.707486020024008
