split,method,boundary_bin,n,coverage,mean_strength,mean_post_gap,lrbn_mse,method_mse,delta_mse_vs_lrbn,delta_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn
val,LRBN-BP-repair-gate,q3,192,0.828125,0.6991302099425022,3.3231352604846616,8.79776483854919,8.704818580830702,-0.0929462577184876,-1.0564758131017256,0.375,0.453125
val,LRBN-BP-repair-gate,q4_high,192,0.8489583333333334,0.7486882489768639,5020.384567542719,10.860782476498011,10.41592151767446,-0.444860958823551,-4.096030459836537,0.2604166666666667,0.5885416666666666
test,LRBN-BP-repair-gate,q1_low,192,0.28125,0.25148773988563045,0.6003833187882978,5.654687644500144,5.65742857339936,0.0027409288992165707,0.04847180015389707,0.13541666666666666,0.14583333333333334
test,LRBN-BP-repair-gate,q2,192,0.5572916666666666,0.4838136311807207,1.779171072226018,5.158836975042691,5.119687583885465,-0.039149391157226064,-0.7588801753328099,0.234375,0.3229166666666667
test,LRBN-BP-repair-gate,q3,192,0.7604166666666666,0.6306854452168787,3.3910687327357087,4.161863949148709,4.104497124102001,-0.0573668250467085,-1.3783926050875157,0.2916666666666667,0.46875
test,LRBN-BP-repair-gate,q4_high,192,0.84375,0.7276688242891245,23988.287048995422,4.601241815322632,4.35292131699043,-0.2483204983322026,-5.396814767821747,0.21354166666666666,0.6302083333333334
val,LRBN-BP-safe-controller,q1_low,192,0.3802083333333333,0.0015176750929593037,0.49303860473607825,7.297790476640089,7.297758540638255,-3.1936001834854955e-05,-0.0004376119305236111,0.140625,0.23958333333333334
val,LRBN-BP-safe-controller,q2,192,0.8072916666666666,0.03688495909342295,1.6537976676634092,8.154945152054543,8.151758109979205,-0.003187042075336983,-0.0390810975672404,0.19270833333333334,0.6145833333333334
val,LRBN-BP-safe-controller,q3,192,0.9010416666666666,0.330532755435025,3.198655020296791,8.886483897239822,8.86261098911946,-0.023872908120361774,-0.26864290049422856,0.11979166666666667,0.78125
val,LRBN-BP-safe-controller,q4_high,192,0.9635416666666666,0.6366935850124913,5020.033854772402,10.849492174903423,10.812874627841571,-0.03661754706185176,-0.3375047093245816,0.057291666666666664,0.90625
test,LRBN-BP-safe-controller,q1_low,192,0.359375,0.0020786098232137545,0.5753254852583581,5.7605934738917215,5.760581995858686,-1.1478033035477083e-05,-0.000199250876966675,0.140625,0.21875
test,LRBN-BP-safe-controller,q2,192,0.71875,0.029225128636973314,1.705329761951715,4.926621347965635,4.9257944251960515,-0.0008269227695834559,-0.016784784327831283,0.15104166666666666,0.5677083333333334
test,LRBN-BP-safe-controller,q3,192,0.8697916666666666,0.3123674069134632,3.243588547882732,4.455003563678152,4.443038004201262,-0.011965559476889645,-0.2685869781920438,0.0625,0.8072916666666666
test,LRBN-BP-safe-controller,q4_high,192,0.953125,0.5957676805221609,23988.09031594924,4.434411998478669,4.407482501732116,-0.026929496746553396,-0.6072844989383837,0.015625,0.9375
val,LRBN-BP-stage3-gated,q1_low,192,0.0,0.0,0.4946807915136298,7.432626210096681,7.432626210096681,0.0,0.0,0.0,0.0
val,LRBN-BP-stage3-gated,q2,192,0.010416666666666666,0.010416666666666666,1.679188493144255,8.097538175693995,8.049154946771738,-0.04838322892225646,-0.5975054122959951,0.0,0.010416666666666666
val,LRBN-BP-stage3-gated,q3,192,0.010416666666666666,0.010416666666666666,3.3231352604846616,8.79776483854919,8.790655723596808,-0.007109114952379693,-0.08080592144439944,0.0,0.010416666666666666
val,LRBN-BP-stage3-gated,q4_high,192,0.18229166666666666,0.18229166666666666,5020.384567542719,10.860782476498011,10.506295862981311,-0.3544866135167002,-3.263914123659078,0.046875,0.13541666666666666
test,LRBN-BP-stage3-gated,q1_low,192,0.0,0.0,0.6003833187882978,5.654687644500144,5.654687644500144,0.0,0.0,0.0,0.0
test,LRBN-BP-stage3-gated,q2,192,0.010416666666666666,0.010416666666666666,1.779171072226018,5.158836975042691,5.142890822858316,-0.015946152184374878,-0.3091036260810039,0.0,0.010416666666666666
test,LRBN-BP-stage3-gated,q3,192,0.010416666666666666,0.010416666666666666,3.3910687327357087,4.161863949148709,4.150698561563953,-0.011165387584756473,-0.2682785332329847,0.0,0.010416666666666666
test,LRBN-BP-stage3-gated,q4_high,192,0.15104166666666666,0.15104166666666666,23988.287048995422,4.601241815322632,4.50824685831488,-0.0929949570077518,-2.021083884267081,0.07291666666666667,0.078125
