config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,raw_gap,post_lrbn_gap,repair_ratio,conflict_cosine,norm_ratio,tail_volatility,anchor_disagreement,true_boundary_jump,mse_lrbn,mse_bp,delta_mse_vs_lrbn,harm_vs_lrbn,effective_strength
ETTh1_DLinear_96_seed2026,test::test_00054,test_00054,test,ETTh1,DLinear,96,2026,1.1280074257506378,2.3336113335494226,-1.0687907180906682,-0.6956451488160309,0.2058066898775455,0.501900330685549,0.1496977163388364,0.8408043872447486,2.123527027572979,1.7559107516212158,-0.3676162759517634,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00055,test_00055,test,ETTh1,DLinear,96,2026,1.1097459334349211,0.07182597459043151,0.9352771012133207,0.7142583181434496,0.009297211338451477,0.7510249642639273,0.4120590811118667,0.6551048545799063,1.7561376370524535,1.7259785765524633,-0.030159060499990176,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00056,test_00056,test,ETTh1,DLinear,96,2026,5.343004151895128,2.476610443791463,0.5364760431965163,0.7119627574501529,0.10248677620704442,0.25626626165250926,0.036680638096424606,0.0,12.59297507112917,12.276548325499961,-0.31642674562920803,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00057,test_00057,test,ETTh1,DLinear,96,2026,2.7109622814303376,1.3350689838966183,0.507529491030503,0.7148439538357797,0.11385725899811841,0.5259463806511242,0.01349949398113629,1.3366373947277346,23.257623151719013,22.376790515514426,-0.8808326362045875,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00058,test_00058,test,ETTh1,DLinear,96,2026,1.16162664240755,0.023189954612145146,0.9800366542474966,0.7137704909528183,0.002420209268404066,0.6348783447937272,0.22896772984210564,0.44417974295787727,21.60733665072777,21.575016169327444,-0.03232048140032617,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00059,test_00059,test,ETTh1,DLinear,96,2026,7.835469295730423,6.1723059006680865,0.21226085420667673,0.7511375025237143,0.541397172874417,0.7321274046885583,0.03209823843432904,0.8646037505852872,8.112936515843082,3.678271224428721,-4.43466529141436,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00060,test_00060,test,ETTh1,DLinear,96,2026,6.107474279674948,3.3187391557440566,0.4566102144410139,0.7294087481736292,0.1374586012629311,0.3272552463546969,0.6951759904054318,0.0,1.4630096060991686,1.693795621094764,0.23078601499559537,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00061,test_00061,test,ETTh1,DLinear,96,2026,0.13494339075032297,1.5521449762426303,-10.502191897850674,-0.7303627295775027,0.12299795269368881,0.5737161306643299,0.061063909706414184,1.1033329309863105,2.241494606501296,2.2676255203281017,0.026130913826805546,1,1.0
ETTh1_DLinear_96_seed2026,test::test_00062,test_00062,test,ETTh1,DLinear,96,2026,0.47473364818741925,0.5315497037878004,-0.11967983496878531,-0.7303283524429057,0.07136377202394081,1.0242990187374008,0.03436495921219287,0.7556387108073859,6.1334694465261945,5.807777631432157,-0.32569181509403755,0,1.0
ETTh1_DLinear_96_seed2026,test::test_00063,test_00063,test,ETTh1,DLinear,96,2026,2.4895916307508648,1.1092166479252237,0.5544583985702014,0.7360056221681286,0.10758425141039227,0.7610554183251935,0.055449314619164275,0.0,5.614949586959859,6.501155890638702,0.8862063036788435,1,1.0
