split,method,mean_mse,mean_mae,lrbn_mse,lrbn_mae,delta_mse_vs_lrbn,delta_pct_vs_lrbn,delta_mae_vs_lrbn,delta_mae_pct_vs_lrbn,harm_rate_vs_lrbn,win_rate_vs_lrbn,mean_win_size,mean_loss_size,win_loss_ratio,coverage,mean_strength,test_threshold_leakage,q4_improvement_pct_vs_lrbn,low_delta_pct_vs_lrbn,config_improved_ratio,param_alpha,param_anchor_mode,param_bridge_mode,param_gap_tau_quantile,param_gap_tau,param_gap_temp,param_boundary_clip,param_norm_clip,param_k_value,param_conflict_eta,param_high_repair
val,LRBN-BP-bounded,8.758273819825845,2.2989478349998875,8.79717792520947,2.3053724718885635,-0.0389041053836228,-0.4422339262676031,-0.00642463688867595,-0.2786810781836407,0.4049479166666667,0.5950520833333334,0.10747956204894754,0.061864330938092335,1.7373427150303333,1.0,1.0,False,0.6859074485689157,-0.08909214194531594,1.0,0.05,last,linear,,,,3.0,0.1,,,
val,LRBN-BP-bounded,8.758273819825845,2.2989478349998875,8.79717792520947,2.3053724718885635,-0.0389041053836228,-0.4422339262676031,-0.00642463688867595,-0.2786810781836407,0.4049479166666667,0.5950520833333334,0.10747956204894754,0.061864330938092335,1.7373427150303333,1.0,1.0,False,0.6859074485689157,-0.08909214194531594,1.0,0.05,last,linear,,,,3.0,0.2,,,
val,LRBN-BP-bounded,8.758273819825845,2.2989478349998875,8.79717792520947,2.3053724718885635,-0.0389041053836228,-0.4422339262676031,-0.00642463688867595,-0.2786810781836407,0.4049479166666667,0.5950520833333334,0.10747956204894754,0.061864330938092335,1.7373427150303333,1.0,1.0,False,0.6859074485689157,-0.08909214194531594,1.0,0.05,last,linear,,,,3.0,0.3,,,
val,LRBN-BP-bounded,8.758273819825845,2.2989478349998875,8.79717792520947,2.3053724718885635,-0.0389041053836228,-0.4422339262676031,-0.00642463688867595,-0.2786810781836407,0.4049479166666667,0.5950520833333334,0.10747956204894754,0.061864330938092335,1.7373427150303333,1.0,1.0,False,0.6859074485689157,-0.08909214194531594,1.0,0.05,last,linear,,,,3.0,0.5,,,
val,LRBN-BP-robust-anchor,8.723763920508107,2.2934402793527426,8.79717792520947,2.3053724718885635,-0.07341400470136238,-0.8345176742138323,-0.011932192535820993,-0.517581979899666,0.4010416666666667,0.5989583333333334,0.18198783477024674,0.088741715531387,2.0507583516153245,1.0,1.0,False,1.8738661084389117,-0.11547063701050171,1.0,0.05,last_plus_slope,linear,,,,,,,,
val,LRBN-BP-robust-anchor,8.740828976312923,2.296551901154054,8.79717792520947,2.3053724718885635,-0.05634894889654666,-0.6405343771781425,-0.008820570734508986,-0.3826093528835592,0.4348958333333333,0.5651041666666666,0.15073417009613718,0.0662953205663943,2.27367702684849,1.0,1.0,False,1.5340672649305676,0.035584237399817455,1.0,0.05,robust_median_slope,linear,,,,,,,,
val,LRBN-BP-robust-anchor,8.728301362639614,2.2942532954756825,8.79717792520947,2.3053724718885635,-0.06887656256985547,-0.78293929118094,-0.011119176412880988,-0.4823158296646375,0.4075520833333333,0.5924479166666666,0.17036152889808115,0.07864950669322016,2.16608487961334,1.0,1.0,False,1.751709185542904,-0.06945691628536012,1.0,0.05,hybrid,linear,,,,,,,,
val,LRBN-BP-short-bridge,8.790430572824247,2.304139528808848,8.79717792520947,2.3053724718885635,-0.006747352385222551,-0.07669905548024487,-0.001232943079715316,-0.053481295946827885,0.15364583333333334,0.8463541666666666,0.008124081588588964,0.0008363254299314166,9.713903414632544,1.0,1.0,False,0.13669344689883456,-0.007384497316088699,1.0,0.05,last,short_linear,,,,,,4,,
val,LRBN-BP-short-bridge,8.78628116441182,2.3033699112719384,8.79717792520947,2.3053724718885635,-0.01089676079764817,-0.12386654990842923,-0.0020025606166246337,-0.08686494839153637,0.20182291666666666,0.7981770833333334,0.014073744189045721,0.0016676960986531028,8.438983463820252,1.0,1.0,False,0.216845787475398,-0.011940013740522355,1.0,0.05,last,short_linear,,,,,,8,,
val,LRBN-BP-short-bridge,8.779839683022722,2.3021715987615163,8.79717792520947,2.3053724718885635,-0.01733824218674706,-0.1970886836033376,-0.003200873127047223,-0.13884407626940357,0.24088541666666666,0.7591145833333334,0.02425088854047833,0.0044459352414979855,5.454608013189881,1.0,1.0,False,0.3467302163433878,-0.021778782238606437,1.0,0.05,last,short_linear,,,,,,16,,
val,LRBN-BP-short-bridge,8.773716880213927,2.3011130857221276,8.79717792520947,2.3053724718885635,-0.02346104499554334,-0.26668830809529315,-0.004259386166435528,-0.1847591311121515,0.2721354166666667,0.7278645833333334,0.03497297299091183,0.007329231317427877,4.771704392888682,1.0,1.0,False,0.4794824048698257,-0.030011546216479557,1.0,0.05,last,short_linear,,,,,,24,,
val,LRBN-BP-short-bridge,8.766470299304695,2.300019538110265,8.79717792520947,2.3053724718885635,-0.030707625904773588,-0.34906223485456345,-0.005352933778298002,-0.23219387844489914,0.3033854166666667,0.6966145833333334,0.048998492216179704,0.011290715196523702,4.339711698170268,1.0,1.0,False,0.6727589969916541,-0.04155233343886284,1.0,0.05,last,short_linear,,,,,,H_div_4,,
val,LRBN-BP-conflict-filter,8.729229301056796,2.2943501499254766,8.79717792520947,2.3053724718885635,-0.06794862415267376,-0.7723911537666989,-0.011022321963086404,-0.47811458016786285,0.40625,0.59375,0.17000569373395594,0.08121170831227714,2.0933640768472133,1.0,0.9647738908664377,False,1.7082309595195542,-0.0811516326987594,1.0,0.05,last,linear,,,,,,,-0.5,
val,LRBN-BP-conflict-filter,8.738264145904838,2.2958496968712496,8.79717792520947,2.3053724718885635,-0.058913779304632534,-0.6696895270111316,-0.00952277501731342,-0.41306882476157797,0.40625,0.59375,0.14754300397990014,0.07062124137460471,2.0892153722577107,1.0,0.8236539997920665,False,1.450414552046267,-0.05847087160282116,1.0,0.05,last,linear,,,,,,,-0.2,
val,LRBN-BP-conflict-filter,8.754204702937649,2.298451823556519,8.79717792520947,2.3053724718885635,-0.042973222271819954,-0.4884887243194904,-0.006920648332044424,-0.30019653597908524,0.40625,0.59375,0.10730886253308886,0.05105579041772689,2.1017957147887656,1.0,0.5780630487445532,False,1.0346343670593974,-0.020565052674851612,1.0,0.05,last,linear,,,,,,,0.0,
val,LRBN-BP-conflict-filter,8.772911012062762,2.3015343172854457,8.79717792520947,2.3053724718885635,-0.024266913146706964,-0.27584883840512725,-0.00383815460311787,-0.16648739556280517,0.4049479166666667,0.5950520833333334,0.06046647365355382,0.028926653257244844,2.090336970974682,1.0,0.313312772327166,False,0.5737063905714609,0.01898830970482843,1.0,0.05,last,linear,,,,,,,0.2,
val,LRBN-BP-repair-gate,8.750977192169925,2.29770267953003,8.79717792520947,2.3053724718885635,-0.04620073303954541,-0.5251767484960429,-0.007669792358533239,-0.3326921102246469,0.2578125,0.3958333333333333,0.17912476169943342,0.09581699283968123,1.8694465114833616,0.6536458333333334,0.5563261149231946,False,1.2186404150059162,-0.002278196441853751,0.875,0.05,last,linear,,,,,,,,0.3
val,LRBN-BP-repair-gate,8.743317972677984,2.2965762576624287,8.79717792520947,2.3053724718885635,-0.05385995253148663,-0.6122412542767708,-0.008796214226134344,-0.3815528421215903,0.2981770833333333,0.47265625,0.17087197045826233,0.09022743114483621,1.8937916036427624,0.7708333333333334,0.6212467889941539,False,1.409386658937507,-0.023355850615484328,1.0,0.05,last,linear,,,,,,,,0.5
val,LRBN-BP-repair-gate,8.738663892266022,2.2958510911138723,8.79717792520947,2.3053724718885635,-0.058514032943447584,-0.6651454975038472,-0.009521380774691404,-0.4130083467853012,0.3463541666666667,0.52734375,0.16495946715952745,0.08221731916932666,2.006383189847888,0.8736979166666666,0.6802862893980205,False,1.5180820430927773,-0.04064564948999128,1.0,0.05,last,linear,,,,,,,,0.7
val,LRBN-BP-repair-gate,8.73593380868643,2.2954127420634527,8.79717792520947,2.3053724718885635,-0.06124411652304033,-0.6961791266937735,-0.009959729825110772,-0.4320225865172044,0.3815104166666667,0.56640625,0.16030978376119936,0.07747192643831655,2.0692626405284016,0.9479166666666666,0.7321570948485068,False,1.5795982899272154,-0.05147618195881471,1.0,0.05,last,linear,,,,,,,,0.9
val,LRBN-BP-always,8.663109654227618,2.283246581062919,8.79717792520947,2.3053724718885635,-0.13406827098184995,-1.5239918070232708,-0.02212589082564435,-0.9597534020844737,0.4088541666666667,0.5911458333333334,0.3445440645308765,0.17025023306674256,2.0237507936820167,1.0,1.0,False,3.4188411325482533,-0.17132191378423126,1.0,0.1,last,linear,,,,,,,,
val,LRBN-BP-gap-strength,8.685022690647001,2.287105560648656,8.79717792520947,2.3053724718885635,-0.11215523456246908,-1.2749001485303937,-0.01826691123990759,-0.7923626825346407,0.40625,0.59375,0.27464856167266244,0.12533501275242892,2.191315369329519,1.0,0.5029008847740121,False,3.4188037007684127,-0.00029669657543769255,1.0,0.1,last,linear,0.5,2.4260872328869336,0.25,,,,,
val,LRBN-BP-gap-strength,8.683679370688063,2.286883683723285,8.79717792520947,2.3053724718885635,-0.11349855452140505,-1.290170044954353,-0.01848878816527835,-0.801987024245748,0.40625,0.59375,0.27541307099891643,0.12314573879188082,2.2364805419663405,1.0,0.511310875426767,False,3.414809808113316,-0.006915063641360679,1.0,0.1,last,linear,0.5,2.4260872328869336,0.5,,,,,
val,LRBN-BP-gap-strength,8.683824595651053,2.2869163339517766,8.79717792520947,2.3053724718885635,-0.11335332955841648,-1.2885192318861183,-0.018456137936786587,-0.8005707572976504,0.40625,0.59375,0.2721789008240441,0.11877635152211621,2.291524149553649,1.0,0.5325086863244659,False,3.365080378608803,-0.029839456941758498,1.0,0.1,last,linear,0.5,2.4260872328869336,1.0,,,,,
