dataset,backbone,horizon,seq_len,epochs,batch_size,learning_rate,max_train_windows,max_eval_windows,device,n_val,n_test,prediction_path,adapter_mode,test_threshold_leakage,mse,mae,variant,method,model_label,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,status,blocker_reason,tail_len,learned_params
ETTm1,PatchTST,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_96_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,2.428282941076,1.1610970609700748,unified_revin_rdn_hybrid,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-unified_revin_rdn_hybrid,0.5003032784869088,-0.047073209990381365,completed,,48,"{""beta"": 0.7059955596923828, ""gamma"": 0.3573574721813202}"
ETTm1,PatchTST,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_96_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,2.4120712440603875,1.1575470358207784,lrbn_nst_feature_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-lrbn_nst_feature_gate,-0.1706566163291574,-0.3526767773216553,completed,,48,"{""lrbn_branch.beta"": 0.7047535181045532, ""lrbn_branch.gamma"": 0.35506048798561096}"
ETTm1,PatchTST,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_96_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,2.4248768843650224,1.1619426958437742,lrbn_nst_conservative_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-lrbn_nst_conservative_gate,0.3593354667683517,0.02572318530092587,completed,,48,"{""lrbn_branch.beta"": 0.7051191926002502, ""lrbn_branch.gamma"": 0.3561851680278778}"
ETTm1,PatchTST,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_192_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,3.705659181478781,1.4668369949234243,unified_revin_rdn_hybrid,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-unified_revin_rdn_hybrid,0.5419000310245268,0.06634532379920816,completed,,48,"{""beta"": 0.7055771350860596, ""gamma"": 0.35650771856307983}"
ETTm1,PatchTST,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_192_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,3.67476244403919,1.4629354333824622,lrbn_nst_feature_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-lrbn_nst_feature_gate,-0.2963898749825664,-0.19981581463073017,completed,,48,"{""lrbn_branch.beta"": 0.7055330276489258, ""lrbn_branch.gamma"": 0.35695064067840576}"
ETTm1,PatchTST,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_192_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,3.6791251795769084,1.4580668090792035,lrbn_nst_conservative_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-lrbn_nst_conservative_gate,-0.1780201872121911,-0.5319491344664244,completed,,48,"{""lrbn_branch.beta"": 0.7064347267150879, ""lrbn_branch.gamma"": 0.3579012453556061}"
ETTm1,PatchTST,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_336_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,4.830914824945573,1.689731227646202,unified_revin_rdn_hybrid,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-unified_revin_rdn_hybrid,-0.0892710622580582,-0.10972971412433435,completed,,48,"{""beta"": 0.7057321667671204, ""gamma"": 0.35728010535240173}"
ETTm1,PatchTST,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_336_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,4.8037300408094765,1.6875987750316384,lrbn_nst_feature_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-lrbn_nst_feature_gate,-0.6514940981575111,-0.23579193310652607,completed,,48,"{""lrbn_branch.beta"": 0.7055442929267883, ""lrbn_branch.gamma"": 0.3572464883327484}"
ETTm1,PatchTST,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_336_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,4.830652615142163,1.695970264870439,lrbn_nst_conservative_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-lrbn_nst_conservative_gate,-0.0946939632080146,0.2590976499297759,completed,,48,"{""lrbn_branch.beta"": 0.7066776752471924, ""lrbn_branch.gamma"": 0.3581962585449219}"
ETTm1,PatchTST,720,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_720_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,6.8018479698661825,2.0026031549102137,unified_revin_rdn_hybrid,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-unified_revin_rdn_hybrid,-0.5757634192053512,0.03215195271078802,completed,,48,"{""beta"": 0.7063972353935242, ""gamma"": 0.35769009590148926}"
ETTm1,PatchTST,720,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_720_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,6.752231346283437,1.9970082008336012,lrbn_nst_feature_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-lrbn_nst_feature_gate,-1.3010214583861655,-0.247321938553121,completed,,48,"{""lrbn_branch.beta"": 0.7054993510246277, ""lrbn_branch.gamma"": 0.3571122884750366}"
ETTm1,PatchTST,720,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTm1_PatchTST_720_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,6.793786498905808,2.000158670812462,lrbn_nst_conservative_gate,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-lrbn_nst_conservative_gate,-0.6935998659334062,-0.0899526210849394,completed,,48,"{""lrbn_branch.beta"": 0.7054789662361145, ""lrbn_branch.gamma"": 0.35780590772628784}"
ETTh1,DLinear,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTh1_DLinear_96_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,4.616753917094909,1.6248124783260742,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-12.612650071973698,-4.963037191878481,completed,,48,"{""beta"": 0.6996755003929138, ""gamma"": 0.34309351444244385}"
ETTh1,DLinear,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTh1_DLinear_96_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,4.64452242578295,1.6274827345570155,lrbn_nst_feature_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_feature_gate,-12.087039127730813,-4.806851142415365,completed,,48,"{""lrbn_branch.beta"": 0.7012059688568115, ""lrbn_branch.gamma"": 0.3460332751274109}"
ETTh1,DLinear,96,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTh1_DLinear_96_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,4.605893908212471,1.6233551925474827,lrbn_nst_conservative_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_conservative_gate,-12.818211688094717,-5.048275344704268,completed,,48,"{""lrbn_branch.beta"": 0.6994922161102295, ""lrbn_branch.gamma"": 0.3538707494735718}"
ETTh1,DLinear,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTh1_DLinear_192_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,6.289434810399595,1.917000538082237,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-10.07742515850915,-3.5518769499371983,completed,,48,"{""beta"": 0.6990328431129456, ""gamma"": 0.357374906539917}"
ETTh1,DLinear,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTh1_DLinear_192_lrbn_nst_feature_gate.jsonl,learnable_reversible_boundary_normalization,False,6.291324776284377,1.9161158686968263,lrbn_nst_feature_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_feature_gate,-10.050403557388316,-3.5963864323539743,completed,,48,"{""lrbn_branch.beta"": 0.700704038143158, ""lrbn_branch.gamma"": 0.35019537806510925}"
ETTh1,DLinear,192,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTh1_DLinear_192_lrbn_nst_conservative_gate.jsonl,learnable_reversible_boundary_normalization,False,6.31593918226869,1.9209826909001289,lrbn_nst_conservative_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-lrbn_nst_conservative_gate,-9.698481511762942,-3.351526894027246,completed,,48,"{""lrbn_branch.beta"": 0.6995018720626831, ""lrbn_branch.gamma"": 0.3534869849681854}"
ETTh1,DLinear,336,96,4,256,0.001,4096,512,cpu,512,512,baseline_predictions\halluguard_lrbn_nst_main\ETTh1_DLinear_336_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,7.598067402562212,2.16389456981571,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-13.043414772076298,-5.647509226910924,completed,,48,"{""beta"": 0.699110209941864, ""gamma"": 0.3615758717060089}"
