sample_id,dataset,backbone,horizon,seed,split,delta_bp_vs_lrbn,g_L,g_y,repair_ratio,A_bp,conflict_cosine,case_type,segment_harm_pattern,save_path
test_00076,ETTh1,DLinear,96,2026,test,-7.119245343746581,11.87280884479929,2.684836367100037,0.22658264953688811,7.100694243431754,0.7461605457807353,top_win,,
test_00059,ETTh1,DLinear,96,2026,test,-4.43466529141436,6.1723059006680865,0.8646037505852872,0.21226085420667673,3.592352864377779,0.7511375025237144,top_win,,
test_00075,ETTh1,DLinear,96,2026,test,-3.626176673976122,1.7332869966172295,0.15620037382130103,0.3537798842175238,18.682213342172616,0.7281169502938771,top_win,,
test_00019,ETTh1,DLinear,96,2026,test,-3.397021987332078,7.4770926167779,2.0765452112340723,0.22707611432156927,10.867337913881515,0.6931720659123295,top_win,,
test_00021,ETTh1,DLinear,96,2026,test,-2.601169130061564,3.069496759917361,0.4180423367790974,0.22910998564694196,8.242325319456988,0.7067217704453744,top_win,,
test_00020,ETTh1,DLinear,96,2026,test,-2.4057510785461105,1.8260197915017011,0.891304347066403,0.2907778462712458,22.586198124974818,0.6815693962446574,top_win,,
test_00080,ETTh1,DLinear,96,2026,test,-2.3050127819347352,4.989112141112874,0.16965642694695232,-0.8145342523327577,7.493410196784095,-0.7214792533139117,top_win,,
test_00041,ETTh1,DLinear,96,2026,test,-2.2494848827194844,5.501336033375028,0.16324065602303037,0.28288924755611045,5.690178813330384,0.7337600177230088,top_win,,
test_00030,ETTh1,DLinear,96,2026,test,-1.9577163910130686,2.1041701072622234,0.3719966090558396,0.322173740904119,10.184785132264787,0.7170253064766136,top_win,,
test_00009,ETTh1,DLinear,96,2026,test,-1.7594151594356728,3.8112834343551536,0.25515925950017454,0.22208457152750172,5.734923729191258,0.6846518496202788,top_win,,
test_00081,ETTh1,DLinear,96,2026,test,-1.5672809396409026,3.645906550016339,0.41763931438800606,-0.9537544023882487,6.462213886121621,-0.7210867750142999,top_win,,
test_00077,ETTh1,DLinear,96,2026,test,-1.5125036052941774,5.108263103640135,0.1446989077914814,0.30256231180874593,3.9565539533218548,0.7404616289157933,top_win,,
test_00068,ETTh1,DLinear,96,2026,test,-1.4182922908267863,2.950305533070012,0.18399811737760993,-0.379694018605762,4.3122256793435305,-0.6949318689518771,top_win,,
