config_id,sample_key,sample_id,split,dataset,backbone,horizon,seed,mse_lrbn,mae_lrbn,mse_bp,mae_bp,delta_bp_vs_lrbn,gain_bp_vs_lrbn,harm_bp_vs_lrbn,A_bp,cos_bp,mse_stage3,mae_stage3,delta_stage3_vs_lrbn,gain_stage3_vs_lrbn,harm_stage3_vs_lrbn,A_stage3,cos_stage3,mse_repair_gate,mae_repair_gate,delta_repair_gate_vs_lrbn,gain_repair_gate_vs_lrbn,harm_repair_gate_vs_lrbn,A_repair_gate,cos_repair_gate,stage3_selected,repair_strength,repair_selected,g_L,g_y,raw_gap,repair_ratio,conflict_cosine,norm_ratio,tail_volatility,anchor_disagreement,g_L_bin,g_y_bin,norm_ratio_bin,anchor_disagreement_bin,repair_ratio_bin,conflict_cosine_bin,pred_gap_flag,true_jump_flag,low_gap_flag,high_repair_flag,low_repair_flag,oracle_boundary_bin
ETTh1_PatchTST_192_seed2026,test::test_00079,test_00079,test,ETTh1,PatchTST,192,2026,8.120366812833039,2.3317361177604163,4.452400975802067,1.6804484286297445,-3.6679658370309722,3.6679658370309722,False,5.519010242444961,0.8724375686536153,8.120366812833039,2.3317361177604163,0.0,0.0,False,0.0,0.0,6.458378573712026,2.060542822507363,-1.6619882391210128,1.6619882391210128,False,13.79752560146428,0.8724375686270666,False,1.0,True,6.040951005588346,0.5446254004110533,5.922255465589914,-0.02004228303185429,0.01035995416607117,0.6638971934923745,0.5159511469496585,0.24982985261698962,q4_high,q2,q4_high,q3,<0,"[-0.2,0.2]",True,False,False,False,True,high_gL_low_gY
ETTh1_PatchTST_192_seed2026,test::test_00080,test_00080,test,ETTh1,PatchTST,192,2026,4.105802048866257,1.557619031510417,4.237663868112747,1.6295680371154015,0.13186181924649,-0.13186181924649,True,0.23531757972056225,0.024112617249626985,4.105802048866257,1.557619031510417,0.0,0.0,False,0.0,0.0,4.11716118199275,1.5765322364230476,0.011359133126492615,-0.011359133126492615,True,0.5882939483685505,0.024112617247388213,False,1.0,True,3.051862852927936,0.2974069770058822,0.4735086583983799,-5.445209948922217,0.045119922464280246,0.3082941199045187,0.470735425945408,0.1095448961160481,q3,q2,q2,q2,<0,"[-0.2,0.2]",False,False,False,False,True,mid_or_mixed
ETTh1_PatchTST_192_seed2026,test::test_00081,test_00081,test,ETTh1,PatchTST,192,2026,7.764260522114083,2.4233007843338545,9.463591243608091,2.72705610665159,1.6993307214940083,-1.6993307214940083,True,-5.4074359479242755,-0.49969862717545066,7.764260522114083,2.4233007843338545,0.0,0.0,False,0.0,0.0,8.372669148099227,2.538235298705943,0.6084086259851444,-0.6084086259851444,True,-13.678080331998155,-0.4996986271477106,False,0.9883397031858312,True,4.0887007896520995,0.16064344704018227,4.103053613677258,0.0034980890442506407,-0.10537339027567742,0.5069485405003529,0.43574699926907506,0.8826222876542215,q3,q1_low,q3,q4_high,0-0.3,"[-0.2,0.2]",False,False,False,False,True,mid_or_mixed
ETTh1_PatchTST_192_seed2026,test::test_00082,test_00082,test,ETTh1,PatchTST,192,2026,14.834343134049272,3.5926209324843748,15.020417299701032,3.621075325166803,0.18607416565176038,-0.18607416565176038,True,-163.97322142150446,-0.7148996683824027,14.834343134049272,3.5926209324843748,0.0,0.0,False,0.0,0.0,14.834343134049272,3.5926209324843748,0.0,0.0,False,0.0,0.0,False,0.0,False,0.22802794171177726,1.933147899074985,0.47050501570922887,0.51535493865783,-0.1282614976212939,0.047079805467924334,0.5095316351487252,0.03696205371265981,q1_low,q4_high,q1_low,q1_low,0.3-0.7,"[-0.2,0.2]",False,True,True,False,False,low_gL_high_gY
ETTh1_PatchTST_192_seed2026,test::test_00083,test_00083,test,ETTh1,PatchTST,192,2026,10.60528543173027,3.0026784767328123,8.67104242766119,2.6269426220934147,-1.9342430040690797,1.9342430040690797,False,10.89922115234368,0.73970625710676,10.60528543173027,3.0026784767328123,0.0,0.0,False,0.0,0.0,10.058745465312471,2.902426160481786,-0.5465399664177983,0.5465399664177983,False,41.44495715793477,0.7397062570317537,False,0.6574515852258391,True,3.9080209114227498,0.18144178349723084,4.3556245767264405,0.10276452443224826,0.040168245837672874,0.5219392181697042,0.3913100865274704,0.0776025673215086,q3,q1_low,q3,q1_low,0-0.3,"[-0.2,0.2]",False,False,False,False,True,mid_or_mixed
ETTh1_PatchTST_192_seed2026,test::test_00084,test_00084,test,ETTh1,PatchTST,192,2026,6.988465436463085,2.2781551558859374,5.542216710812301,1.9689319873390898,-1.4462487256507837,1.4462487256507837,False,7.494709507231119,0.668922073263479,6.988465436463085,2.2781551558859374,0.0,0.0,False,0.0,0.0,6.356522494470858,2.1368931319950124,-0.6319429419922269,0.6319429419922269,False,18.736773745070284,0.6689220732215867,False,1.0,True,2.791718702682267,0.0,2.3339267193893307,-0.19614667377306994,0.08849868695247198,0.4973369431131888,0.5847805111709367,0.34092566274845765,q3,q1_low,q3,q3,<0,"[-0.2,0.2]",False,False,False,False,True,mid_or_mixed
ETTh1_PatchTST_192_seed2026,test::test_00085,test_00085,test,ETTh1,PatchTST,192,2026,4.307782769776049,1.8041235965625002,3.5525618700248827,1.611011565354494,-0.755220899751166,0.755220899751166,False,8.79497367547028,0.6594886482243795,4.307782769776049,1.8041235965625002,0.0,0.0,False,0.0,0.0,4.307782769776049,1.8041235965625002,0.0,0.0,False,0.0,0.0,False,0.0,False,3.9177615211824017,0.5093469986508606,7.148570037373596,0.45195172170646336,0.03781576933226637,0.39485849208764773,0.2748619317887943,0.6821607929227889,q3,q2,q3,q4_high,0.3-0.7,"[-0.2,0.2]",False,False,False,False,False,mid_or_mixed
ETTh1_PatchTST_192_seed2026,test::test_00086,test_00086,test,ETTh1,PatchTST,192,2026,2.2383225753825053,1.1560951044791665,2.222162478297163,1.1361383613290794,-0.016160097085342162,0.016160097085342162,False,1.4590558325833278,0.09148919479394522,2.2383225753825053,1.1560951044791665,0.0,0.0,False,0.0,0.0,2.2262975183720743,1.1476960993391307,-0.012025057010430995,0.012025057010430995,False,4.980911495207403,0.09148919475297017,False,0.7323236976748632,True,2.026385116617734,1.7575933136006099,2.203317883040014,0.08030289069754104,0.047959197062028724,0.23452733409777032,0.3203245003513562,0.029241170510090595,q2,q4_high,q2,q1_low,0-0.3,"[-0.2,0.2]",False,True,False,False,True,mid_or_mixed
ETTh1_PatchTST_192_seed2026,test::test_00087,test_00087,test,ETTh1,PatchTST,192,2026,2.400066718700755,1.2569453958854169,2.589458689889115,1.3135796400717168,0.18939197118836004,-0.18939197118836004,True,-9.798795895597758,-0.4188168778045277,2.400066718700755,1.2569453958854169,0.0,0.0,False,0.0,0.0,2.4703718641008563,1.278445102657141,0.07030514540010113,-0.07030514540010113,True,-24.913562034836225,-0.41881687764052666,False,0.983279280065002,True,0.7576960939210189,2.4426402608033397,0.7615160062259643,0.005016215980499394,0.1043941793984618,0.1572234291210536,0.6046735672465505,0.33362354432868996,q1_low,q4_high,q2,q3,0-0.3,"[-0.2,0.2]",False,True,True,False,True,low_gL_high_gY
ETTh1_PatchTST_192_seed2026,test::test_00088,test_00088,test,ETTh1,PatchTST,192,2026,1.8891368036138942,1.0867003234375001,1.5382704645242253,0.9693489884189573,-0.3508663390896689,0.3508663390896689,False,3.083542922025477,0.46031796532165725,1.8891368036138942,1.0867003234375001,0.0,0.0,False,0.0,0.0,1.7083745316604302,1.0296198882215315,-0.18076227195346406,0.18076227195346406,False,7.708857292546444,0.4603179652578975,False,1.0,True,2.625114215299102,1.6900589572174505,2.082255998853944,-0.26070674952189776,-0.06625122592868204,0.4665526058600513,0.540809535724617,0.3901558300938972,q3,q4_high,q3,q3,<0,"[-0.2,0.2]",False,True,False,False,True,mid_or_mixed
