split,method,dataset,backbone,horizon,seed,n,coverage,mean_boundary_gap,raw_mse,lrbn_mse,method_mse,method_mae,delta_vs_lrbn,delta_pct_vs_lrbn,win_rate_vs_lrbn,harm_rate_vs_lrbn
test,raw_no_correction,ETTh1,PatchTST,96,2026,96,0.0,3.4502061927577365,5.8298080218054125,5.8042865388731295,5.8298080218054125,1.8624278713271292,0.02552148293228147,0.43970060260442884,0.4791666666666667,0.5208333333333334
test,raw_no_correction,ETTh1,PatchTST,192,2026,96,0.0,2.965997389121108,7.270392972436926,7.242316015180876,7.270392972436926,2.0971483646654243,0.028076957256049518,0.38767926114282975,0.4375,0.5625
test,raw_no_correction,ETTm1,DLinear,96,2026,96,0.0,7380.780743458218,4.785306744021491,2.8177423433450954,4.785306744021491,1.6702877843692487,1.9675644006763953,69.82769018397273,0.25,0.75
test,raw_no_correction,ETTm1,DLinear,192,2026,96,0.0,14837.015957787415,6.45562024879166,3.994698335172625,6.45562024879166,1.9605102455648862,2.4609219136190346,61.60469955367031,0.22916666666666666,0.7708333333333334
test,raw_no_correction,ETTm1,PatchTST,96,2026,96,0.0,7085.865710337518,3.065950966984565,3.013168467192729,3.065950966984565,1.3372358446391146,0.05278249979183658,1.751727465336149,0.5,0.5
test,raw_no_correction,ETTm1,PatchTST,192,2026,96,0.0,18676.213959594555,4.224036328058323,4.215013369115137,4.224036328058323,1.5870433400054018,0.00902295894318738,0.21406714834865498,0.5,0.5
test,HalluGuard-LRBN,ETTh1,DLinear,96,2026,96,0.0,3.2527853564844604,8.828207131934626,5.294718415187439,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0
test,HalluGuard-LRBN,ETTh1,DLinear,192,2026,96,0.0,2.773809753257266,10.958442018326318,6.7713172839613245,6.7713172839613245,2.0194551565052357,0.0,0.0,0.0,0.0
test,HalluGuard-LRBN,ETTh1,PatchTST,96,2026,96,0.0,3.4502061927577365,5.8298080218054125,5.8042865388731295,5.8042865388731295,1.8533736928487337,0.0,0.0,0.0,0.0
test,HalluGuard-LRBN,ETTh1,PatchTST,192,2026,96,0.0,2.965997389121108,7.270392972436926,7.242316015180876,7.242316015180876,2.0944762102183376,0.0,0.0,0.0,0.0
test,HalluGuard-LRBN,ETTm1,DLinear,96,2026,96,0.0,7380.780743458218,4.785306744021491,2.8177423433450954,2.8177423433450954,1.2739993115635848,0.0,0.0,0.0,0.0
test,HalluGuard-LRBN,ETTm1,DLinear,192,2026,96,0.0,14837.015957787415,6.45562024879166,3.994698335172625,3.994698335172625,1.5380548779931642,0.0,0.0,0.0,0.0
test,HalluGuard-LRBN,ETTm1,PatchTST,96,2026,96,0.0,7085.865710337518,3.065950966984565,3.013168467192729,3.013168467192729,1.3271271209399849,0.0,0.0,0.0,0.0
test,HalluGuard-LRBN,ETTm1,PatchTST,192,2026,96,0.0,18676.213959594555,4.224036328058323,4.215013369115137,4.215013369115137,1.5842038217125196,0.0,0.0,0.0,0.0
test,HalluGuard-LRBN-BP-gated,ETTh1,DLinear,96,2026,96,0.020833333333333332,3.2527853564844604,8.828207131934626,5.294718415187439,5.210923122308993,1.7544064278721188,-0.08379529287844543,-1.5826203803364463,0.020833333333333332,0.0
test,HalluGuard-LRBN-BP-gated,ETTh1,DLinear,192,2026,96,0.020833333333333332,2.773809753257266,10.958442018326318,6.7713172839613245,6.782387705150174,2.0223935055495965,0.011070421188848656,0.16348991943889402,0.010416666666666666,0.010416666666666666
test,HalluGuard-LRBN-BP-gated,ETTh1,PatchTST,96,2026,96,0.010416666666666666,3.4502061927577365,5.8298080218054125,5.8042865388731295,5.791592250918036,1.850398580512979,-0.0126942879550944,-0.21870539726467908,0.010416666666666666,0.0
test,HalluGuard-LRBN-BP-gated,ETTh1,PatchTST,192,2026,96,0.010416666666666666,2.965997389121108,7.270392972436926,7.242316015180876,7.2266759395250135,2.0926453114122263,-0.015640075655862045,-0.21595406222930918,0.010416666666666666,0.0
test,HalluGuard-LRBN-BP-gated,ETTm1,DLinear,96,2026,96,0.0625,7380.780743458218,4.785306744021491,2.8177423433450954,2.7677215326301265,1.2565745793920755,-0.050020810714968666,-1.7752088176403515,0.041666666666666664,0.020833333333333332
test,HalluGuard-LRBN-BP-gated,ETTm1,DLinear,192,2026,96,0.0625,14837.015957787415,6.45562024879166,3.994698335172625,4.000221789896035,1.5371498819503158,0.005523454723409694,0.13826963255146796,0.03125,0.03125
test,HalluGuard-LRBN-BP-gated,ETTm1,PatchTST,96,2026,96,0.07291666666666667,7085.865710337518,3.065950966984565,3.013168467192729,2.937407385721764,1.305371085329148,-0.0757610814709639,-2.5143327379273774,0.03125,0.041666666666666664
test,HalluGuard-LRBN-BP-gated,ETTm1,PatchTST,192,2026,96,0.08333333333333333,18676.213959594555,4.224036328058323,4.215013369115137,4.196118048324446,1.5758883087900015,-0.0188953207906902,-0.4482861403077511,0.041666666666666664,0.041666666666666664
test,HalluGuard-LRBN-BP-always,ETTh1,DLinear,96,2026,96,1.0,3.2527853564844604,8.828207131934626,5.294718415187439,4.921392650974,1.6931823892891398,-0.37332576421343827,-7.050908740255108,0.5416666666666666,0.4583333333333333
test,HalluGuard-LRBN-BP-always,ETTh1,DLinear,192,2026,96,1.0,2.773809753257266,10.958442018326318,6.7713172839613245,6.500329410455099,1.95986854597934,-0.2709878735062254,-4.00199638773231,0.5833333333333334,0.4166666666666667
test,HalluGuard-LRBN-BP-always,ETTh1,PatchTST,96,2026,96,1.0,3.4502061927577365,5.8298080218054125,5.8042865388731295,5.510256861762879,1.7977944410953073,-0.29402967711025224,-5.065733309933413,0.59375,0.40625
test,HalluGuard-LRBN-BP-always,ETTh1,PatchTST,192,2026,96,1.0,2.965997389121108,7.270392972436926,7.242316015180876,7.012152562947811,2.0495606399191604,-0.23016345223306475,-3.1780365760456597,0.5729166666666666,0.4270833333333333
test,HalluGuard-LRBN-BP-always,ETTm1,DLinear,96,2026,96,1.0,7380.780743458218,4.785306744021491,2.8177423433450954,2.4981920719432864,1.1762918627372305,-0.3195502714018093,-11.340649049138701,0.6458333333333334,0.3541666666666667
test,HalluGuard-LRBN-BP-always,ETTm1,DLinear,192,2026,96,1.0,14837.015957787415,6.45562024879166,3.994698335172625,3.863337753375576,1.4956187525826243,-0.1313605817970487,-3.2883729995730664,0.5729166666666666,0.4270833333333333
