policy,alpha,tau,coverage,delta_pct_vs_lrbn,harm_rate_vs_lrbn,low_delta_pct_vs_lrbn,q4_improvement_pct_vs_lrbn,feasible,delta_pct_vs_raw
gated,0.5,13.766675883152962,0.05078125,-1.1650865777946104,0.01171875,0.0,3.6652999634598156,True,
gated,0.5,inf,0.0,0.0,0.0,0.0,0.0,True,
gated,0.75,2.7814867066937445,0.5,-2.8474052209009795,0.22265625,0.0,7.573463257536717,False,
gated,0.75,3.7106200095903903,0.3997395833333333,-2.8764007930133286,0.17057291666666666,0.0,7.573463257536717,False,
gated,0.75,4.749340592808404,0.30078125,-2.596650893537247,0.12109375,0.0,7.573463257536717,False,
gated,0.75,6.214773339385104,0.20052083333333334,-2.0731815359480654,0.08203125,0.0,6.522118057818339,False,
gated,0.75,9.52692888646857,0.10026041666666667,-1.310293624269808,0.037760416666666664,0.0,4.122113553353801,False,
gated,0.75,13.766675883152962,0.05078125,-1.059225192440876,0.014322916666666666,0.0,3.33226571582194,True,
gated,0.75,inf,0.0,0.0,0.0,0.0,0.0,True,
always,0.0,-inf,0.0,0.0,0.0,,,,
always,0.05,-inf,1.0,-0.8035427603957047,0.40625,,,,
always,0.1,-inf,1.0,-1.5239918070232708,0.4088541666666667,,,,
always,0.2,-inf,1.0,-2.7156087589739655,0.4231770833333333,,,,
always,0.3,-inf,1.0,-3.574850855852105,0.4309895833333333,,,,
always,0.5,-inf,1.0,-4.296210484390716,0.453125,,,,
always,0.75,-inf,1.0,-3.3283014602808842,0.4791666666666667,,,,
raw_bp_global,0.0,-inf,0.0,,,,,,0.0
raw_bp_global,0.05,-inf,1.0,,,,,,-0.9320048190214871
raw_bp_global,0.1,-inf,1.0,,,,,,-1.7775246233730084
raw_bp_global,0.2,-inf,1.0,,,,,,-3.2091091880662144
raw_bp_global,0.3,-inf,1.0,,,,,,-4.294753694079578
raw_bp_global,0.5,-inf,1.0,,,,,,-5.428222530066896
raw_bp_global,0.75,-inf,1.0,,,,,,-4.899145744977052
