method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,shrink,cap_mult,feasible
MRC-ridge-residual,768,8.725104731392912,2.294956818337099,8.79717792520947,2.3053724718885635,-0.07207319381655557,-0.8192762991424127,-0.45179916188346503,0.2825520833333333,0.7174479166666666,0.12170180773657988,0.053942318948114416,2.2561467053756865,0.5246148026610132,0.0,0,0.0,0.05,0.1,False
MRC-ridge-residual,768,8.683700373718699,2.2890176935730633,8.79717792520947,2.3053724718885635,-0.11347755149077177,-1.2899312975879789,-0.7094202105727574,0.2786458333333333,0.7213541666666666,0.18611505212390184,0.0745653239800416,2.495999711792587,0.5146759207883862,0.0,0,0.0,0.05,0.25,False
MRC-ridge-residual,768,8.670508278768713,2.287071683117578,8.79717792520947,2.3053724718885635,-0.12666964644075665,-1.439889557465686,-0.7938321861113469,0.2786458333333333,0.7213541666666666,0.20591325554190898,0.07847502384914234,2.6239333128259545,0.5124281368370938,0.0,0,0.0,0.05,0.5,False
MRC-ridge-residual,768,8.667191192707344,2.286612304529535,8.79717792520947,2.3053724718885635,-0.1299867325021243,-1.4775958092409576,-0.813758622800095,0.2786458333333333,0.7213541666666666,0.21081905078428992,0.0792707643591829,2.6594801487500317,0.5117311825903419,0.0,0,0.0,0.05,1.0,False
MRC-ridge-residual,768,8.667049623538684,2.28660844549858,8.79717792520947,2.3053724718885635,-0.1301283016707845,-1.4792050658650997,-0.8139260157478772,0.2786458333333333,0.7213541666666666,0.21125523064633014,0.07989187894815135,2.6442638098522324,0.5109221590754628,0.0,0,0.0,0.05,2.0,False
MRC-ridge-residual,768,8.717169100504691,2.293718416229495,8.79717792520947,2.3053724718885635,-0.0800088247047784,-0.9094828511374591,-0.50551725374641,0.2942708333333333,0.7057291666666666,0.14063979661586418,0.06539819642711751,2.1505145828823156,0.5414630496063918,0.0,0,0.0,0.1,0.1,False
MRC-ridge-residual,768,8.633232383665238,2.2816108409510942,8.79717792520947,2.3053724718885635,-0.16394554154423163,-1.8636151587665704,-1.0307068000570454,0.2864583333333333,0.7135416666666666,0.2787085849908173,0.1219187666772635,2.2860185492887526,0.5160472087859826,0.0,0,0.0,0.1,0.25,False
MRC-ridge-residual,768,8.5765753842022,2.2733385274979425,8.79717792520947,2.3053724718885635,-0.22060254100726784,-2.5076512335204453,-1.3895344306521251,0.2838541666666667,0.7161458333333334,0.36794867549304044,0.15114229370454374,2.4344519467713983,0.5111771881976355,0.0,0,0.0,0.1,0.5,False
MRC-ridge-residual,768,8.551589530417067,2.2696163763155695,8.79717792520947,2.3053724718885635,-0.24558839479240255,-2.7916724727082056,-1.5509899529859337,0.2825520833333333,0.7174479166666666,0.40544340327427747,0.16031072812701275,2.529109453373288,0.5074992153949256,0.0,0,0.0,0.1,1.0,False
MRC-ridge-residual,768,8.545346829301351,2.26873608707206,8.79717792520947,2.3053724718885635,-0.25183109590811814,-2.862635015033621,-1.5891742052239255,0.2825520833333333,0.7174479166666666,0.4148546798007797,0.16211358024329436,2.559037025694024,0.5062216809684091,0.0,0,0.0,0.1,2.0,False
MRC-ridge-residual,768,8.715366805535796,2.2933953629547053,8.79717792520947,2.3053724718885635,-0.08181111967367337,-0.9299700458056689,-0.5195303157278351,0.29296875,0.70703125,0.14572458375861233,0.0724333736513127,2.0118428328588984,0.5466016534918028,0.0,0,0.0,0.2,0.1,False
