variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,lrbn_equiv_rate,active_patch_ratio,edit_energy_ratio,mean_delta_norm,mean_accept_score,shrink,residual_cap,gate_quantile,score_threshold,width_coef,energy_only_accept,calibration_score,target_variant
UTRE Uncertainty Teacher Residual Envelope,232,8.889112543535369,2.298119857645888,9.1261157455358,2.332075092367097,-0.23700320200043343,-2.5969778200179903,-1.456009486433098,0.10775862068965517,0.3922413793103448,0.1724137931034483,1.0,8,8,False,0.5,116,0.21551724137931033,0.1250583101485787,0.5,0.5114942528735632,5.1533860401505816e-05,0.048274119549177014,0.35142563619040723,0.25,0.1,0.5,0.26343318819999695,0.5,False,-1.2004260958800614,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,8.889112543535369,2.298119857645888,9.1261157455358,2.332075092367097,-0.23700320200043343,-2.5969778200179903,-1.456009486433098,0.10775862068965517,0.3922413793103448,0.1724137931034483,1.0,8,8,False,0.5,116,0.21551724137931033,0.1250583101485787,0.5,0.5114942528735632,5.1533860401505816e-05,0.048274119549177014,0.35142563619040723,0.25,0.1,0.5,0.26343318819999695,1.0,False,-1.2004260958800614,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,8.889112543535369,2.298119857645888,9.1261157455358,2.332075092367097,-0.23700320200043343,-2.5969778200179903,-1.456009486433098,0.10775862068965517,0.3922413793103448,0.1724137931034483,1.0,8,8,False,0.5,116,0.21551724137931033,0.1250583101485787,0.5,0.5114942528735632,5.1533860401505816e-05,0.048274119549177014,0.35142563619040723,0.25,0.1,0.5,0.26343318819999695,2.0,False,-1.2004260958800614,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,9.012487309262564,2.3159595049844084,9.1261157455358,2.332075092367097,-0.1136284362732396,-1.2450908942757024,-0.6910406687302312,0.06465517241379311,0.1853448275862069,0.13793103448275862,1.0,8,8,False,0.25,58,0.25862068965517243,0.05995775628858727,0.75,0.2557471264367816,2.3480993088900264e-05,0.02452434921635279,0.35142563619040723,0.25,0.1,0.75,0.42984645813703537,0.5,False,-0.8442460200474479,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,9.012487309262564,2.3159595049844084,9.1261157455358,2.332075092367097,-0.1136284362732396,-1.2450908942757024,-0.6910406687302312,0.06465517241379311,0.1853448275862069,0.13793103448275862,1.0,8,8,False,0.25,58,0.25862068965517243,0.05995775628858727,0.75,0.2557471264367816,2.3480993088900264e-05,0.02452434921635279,0.35142563619040723,0.25,0.1,0.75,0.42984645813703537,1.0,False,-0.8442460200474479,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,9.012487309262564,2.3159595049844084,9.1261157455358,2.332075092367097,-0.1136284362732396,-1.2450908942757024,-0.6910406687302312,0.06465517241379311,0.1853448275862069,0.13793103448275862,1.0,8,8,False,0.25,58,0.25862068965517243,0.05995775628858727,0.75,0.2557471264367816,2.3480993088900264e-05,0.02452434921635279,0.35142563619040723,0.25,0.1,0.75,0.42984645813703537,2.0,False,-0.8442460200474479,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,9.081773386049754,2.325438932939778,9.1261157455358,2.332075092367097,-0.04434235948604774,-0.4858842543077431,-0.2845602794088146,0.021551724137931036,0.08189655172413793,0.034482758620689655,0.875,7,8,False,0.10344827586206896,24,0.20833333333333334,0.023397914030358916,0.896551724137931,0.10919540229885058,8.519903146107669e-06,0.010185995860443308,0.35142563619040723,0.25,0.1,0.9,0.5949990212917329,0.5,False,4.990985051291974,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,9.081773386049754,2.325438932939778,9.1261157455358,2.332075092367097,-0.04434235948604774,-0.4858842543077431,-0.2845602794088146,0.021551724137931036,0.08189655172413793,0.034482758620689655,0.875,7,8,False,0.10344827586206896,24,0.20833333333333334,0.023397914030358916,0.896551724137931,0.10919540229885058,8.519903146107669e-06,0.010185995860443308,0.35142563619040723,0.25,0.1,0.9,0.5949990212917329,1.0,False,4.990985051291974,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,9.081773386049754,2.325438932939778,9.1261157455358,2.332075092367097,-0.04434235948604774,-0.4858842543077431,-0.2845602794088146,0.021551724137931036,0.08189655172413793,0.034482758620689655,0.875,7,8,False,0.10344827586206896,24,0.20833333333333334,0.023397914030358916,0.896551724137931,0.10919540229885058,8.519903146107669e-06,0.010185995860443308,0.35142563619040723,0.25,0.1,0.9,0.5949990212917329,2.0,False,4.990985051291974,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,8.611232421728587,2.257414145693771,9.1261157455358,2.332075092367097,-0.5148833238072144,-5.641867116301815,-3.201481230066045,0.34051724137931033,0.6594827586206896,0.5862068965517241,1.0,8,8,False,1.0,232,0.34051724137931033,0.27168594287133696,0.0,1.0,0.0002689781096878041,0.15119357806621547,0.35142563619040723,0.25,0.2,0.0,0.03669367730617523,0.5,False,98.58227081473265,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,8.611232421728587,2.257414145693771,9.1261157455358,2.332075092367097,-0.5148833238072144,-5.641867116301815,-3.201481230066045,0.34051724137931033,0.6594827586206896,0.5862068965517241,1.0,8,8,False,1.0,232,0.34051724137931033,0.27168594287133696,0.0,1.0,0.0002689781096878041,0.15119357806621547,0.35142563619040723,0.25,0.2,0.0,0.03669367730617523,1.0,False,98.58227081473265,UTRE Uncertainty Teacher Residual Envelope
UTRE Uncertainty Teacher Residual Envelope,232,8.611232421728587,2.257414145693771,9.1261157455358,2.332075092367097,-0.5148833238072144,-5.641867116301815,-3.201481230066045,0.34051724137931033,0.6594827586206896,0.5862068965517241,1.0,8,8,False,1.0,232,0.34051724137931033,0.27168594287133696,0.0,1.0,0.0002689781096878041,0.15119357806621547,0.35142563619040723,0.25,0.2,0.0,0.03669367730617523,2.0,False,98.58227081473265,UTRE Uncertainty Teacher Residual Envelope
