variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,accept_precision,mean_expected_harm,observed_selected_harm,expected_observed_harm_gap_pp,mean_accept_score,k_max,tau_leave,tau_utility,beta_harm,base_floor,delta_cap,lam,temporal_q,local_lam,risk_tau,deadzone,agreement_tau,margin,calibration_score,target_variant
Selection-Conditional Conformal Family Editor,232,9.00330888612583,2.3223293183487894,9.1261157455358,2.332075092367097,-0.12280685940997213,-1.3456640557674067,-0.4179013792658587,0.3879310344827586,0.6120689655172413,0.5172413793103449,0.75,6,8,False,1.0,232,0.3879310344827586,0.06480088953581778,0.6120689655172413,0.4224137931034482,0.3879310344827586,3.4482758620689555,0.9963904837345174,2,0.55,0.03,4.0,0.75,0.25,0.5,0.75,0.25,0.15,0.0,0.35,0.05,122.70261180630156,Selection-Conditional Conformal Family Editor
Selection-Conditional Conformal Family Editor,232,9.046763552737206,2.325577557637449,9.1261157455358,2.332075092367097,-0.07935219279859453,-0.8695067531930086,-0.278616015541394,0.3879310344827586,0.6120689655172413,0.5172413793103449,0.75,6,8,False,1.0,232,0.3879310344827586,0.0418713800244703,0.6120689655172413,0.4224137931034482,0.3879310344827586,3.4482758620689555,0.9963904837345174,2,0.55,0.06,4.0,0.75,0.25,0.3,0.75,0.25,0.05,0.0,0.35,0.05,123.17876910887597,Selection-Conditional Conformal Family Editor
Selection-Conditional Conformal Family Editor,232,9.00330888612583,2.3223293183487894,9.1261157455358,2.332075092367097,-0.12280685940997213,-1.3456640557674067,-0.4179013792658587,0.3879310344827586,0.6120689655172413,0.5172413793103449,0.75,6,8,False,1.0,232,0.3879310344827586,0.06480088953581778,0.6120689655172413,0.4224137931034482,0.3879310344827586,3.4482758620689555,0.9963904837345174,2,0.55,0.06,4.0,0.75,0.25,0.5,0.75,0.25,0.05,0.0,0.35,0.05,122.70261180630156,Selection-Conditional Conformal Family Editor
Selection-Conditional Conformal Family Editor,232,9.046763552737206,2.325577557637449,9.1261157455358,2.332075092367097,-0.07935219279859453,-0.8695067531930086,-0.278616015541394,0.3879310344827586,0.6120689655172413,0.5172413793103449,0.75,6,8,False,1.0,232,0.3879310344827586,0.0418713800244703,0.6120689655172413,0.4224137931034482,0.3879310344827586,3.4482758620689555,0.9963904837345174,2,0.55,0.06,4.0,0.75,0.25,0.3,0.75,0.25,0.1,0.0,0.35,0.05,123.17876910887597,Selection-Conditional Conformal Family Editor
Selection-Conditional Conformal Family Editor,232,9.00330888612583,2.3223293183487894,9.1261157455358,2.332075092367097,-0.12280685940997213,-1.3456640557674067,-0.4179013792658587,0.3879310344827586,0.6120689655172413,0.5172413793103449,0.75,6,8,False,1.0,232,0.3879310344827586,0.06480088953581778,0.6120689655172413,0.4224137931034482,0.3879310344827586,3.4482758620689555,0.9963904837345174,2,0.55,0.06,4.0,0.75,0.25,0.5,0.75,0.25,0.1,0.0,0.35,0.05,122.70261180630156,Selection-Conditional Conformal Family Editor
Selection-Conditional Conformal Family Editor,232,9.046763552737206,2.325577557637449,9.1261157455358,2.332075092367097,-0.07935219279859453,-0.8695067531930086,-0.278616015541394,0.3879310344827586,0.6120689655172413,0.5172413793103449,0.75,6,8,False,1.0,232,0.3879310344827586,0.0418713800244703,0.6120689655172413,0.4224137931034482,0.3879310344827586,3.4482758620689555,0.9963904837345174,2,0.55,0.06,4.0,0.75,0.25,0.3,0.75,0.25,0.15,0.0,0.35,0.05,123.17876910887597,Selection-Conditional Conformal Family Editor
Selection-Conditional Conformal Family Editor,232,9.00330888612583,2.3223293183487894,9.1261157455358,2.332075092367097,-0.12280685940997213,-1.3456640557674067,-0.4179013792658587,0.3879310344827586,0.6120689655172413,0.5172413793103449,0.75,6,8,False,1.0,232,0.3879310344827586,0.06480088953581778,0.6120689655172413,0.4224137931034482,0.3879310344827586,3.4482758620689555,0.9963904837345174,2,0.55,0.06,4.0,0.75,0.25,0.5,0.75,0.25,0.15,0.0,0.35,0.05,122.70261180630156,Selection-Conditional Conformal Family Editor
Retrieval-Augmented Local Residual Editor,232,9.022752139487736,2.317276032735803,9.1261157455358,2.332075092367097,-0.10336360604806395,-1.1326133572803492,-0.634587608961342,0.30603448275862066,0.6939655172413793,0.4482758620689655,1.0,8,8,False,1.0,232,0.30603448275862066,0.054541363973684406,0.6939655172413793,0.06348139864191497,0.30603448275862066,24.25530841167057,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.3,0.75,0.25,0.08,0.0,0.2,0.05,81.48462802203,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.998285611727068,2.313869568042005,9.1261157455358,2.332075092367097,-0.12783013380873273,-1.4007069078779992,-0.7806577200971501,0.30603448275862066,0.6939655172413793,0.4482758620689655,1.0,8,8,False,1.0,232,0.30603448275862066,0.06745149595133984,0.6939655172413793,0.06348139864191497,0.30603448275862066,24.25530841167057,0.936518601358085,2,0.55,0.0,2.0,0.75,0.35,0.3,0.75,0.25,0.08,0.0,0.2,0.05,81.21653447143234,Retrieval-Augmented Local Residual Editor
Retrieval-Augmented Local Residual Editor,232,8.96017480661747,2.3081657227747794,9.1261157455358,2.332075092367097,-0.16594093891833117,-1.8183085045537875,-1.025240120614014,0.3146551724137931,0.6853448275862069,0.4482758620689655,1.0,8,8,False,1.0,232,0.3146551724137931,0.08756123643239665,0.6853448275862069,0.06348139864191497,0.3146551724137931,25.11737737718781,0.936518601358085,2,0.55,0.0,2.0,0.75,0.2,0.5,0.75,0.25,0.08,0.0,0.2,0.05,82.6954845988945,Retrieval-Augmented Local Residual Editor
