variant,dataset,backbone,horizon,seed,n,mse,mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage
Safe-CGA,ETTm1,PatchTST,96,2026,96,2.9703665637755763,1.3184966635363478,-1.4204948625053204,-0.6503112778294478,0.0,0.052083333333333336,0.052083333333333336
Safe-CGA,ETTm1,PatchTST,192,2026,96,4.07945850291756,1.5461634520245966,-3.216000852316012,-2.4012294962575296,0.020833333333333332,0.21875,0.23958333333333334
Balanced-CGA,ETTh1,DLinear,96,2026,96,5.250286574886363,1.7597924994621312,-0.8391728649763344,-0.3858249369993904,0.0,0.020833333333333332,0.020833333333333332
Balanced-CGA,ETTh1,DLinear,192,2026,96,6.125930849933976,1.8805850403158095,-9.531179916836944,-6.876612984171743,0.125,0.20833333333333334,0.3333333333333333
Balanced-CGA,ETTh1,PatchTST,96,2026,96,5.773518234451661,1.8463519012356426,-0.5300962342640045,-0.3788653956996452,0.0,0.041666666666666664,0.041666666666666664
Balanced-CGA,ETTh1,PatchTST,192,2026,96,7.126060987552727,2.0747100420091886,-1.6052189275356148,-0.9437284614808609,0.010416666666666666,0.22916666666666666,0.23958333333333334
Balanced-CGA,ETTm1,DLinear,96,2026,96,2.795245902311494,1.2688297050131563,-0.7983853103849164,-0.4057778103118493,0.0,0.010416666666666666,0.010416666666666666
Balanced-CGA,ETTm1,DLinear,192,2026,96,4.533277704920659,1.6244190975436663,13.48235394041399,5.615158485220844,0.2604166666666667,0.23958333333333334,0.5
Balanced-CGA,ETTm1,PatchTST,96,2026,96,2.9703665637755763,1.3184966635363478,-1.4204948625053204,-0.6503112778294478,0.0,0.052083333333333336,0.052083333333333336
Balanced-CGA,ETTm1,PatchTST,192,2026,96,4.07945850291756,1.5461634520245966,-3.216000852316012,-2.4012294962575296,0.020833333333333332,0.21875,0.23958333333333334
