row_index,horizon,k_used,mean_distance,min_distance,memory_candidate,split,candidate,n,mean_mse_delta,win_rate,harm_rate
219,192,9,5.9312761237961364,3.5749873516401918,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
220,192,9,3.153872359501565,2.5528815643195797,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
221,192,9,2.546542540263867,1.9713393766720202,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
222,192,9,3.1355450930114412,2.4268002101713604,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
223,192,9,4.6315309089209125,4.1021829463467,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
224,192,9,21.196997596809606,18.33244027906056,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
225,192,9,2.316372115795564,1.2829720428460774,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
226,192,9,3.3009533920768597,1.994077548095918,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
227,192,9,2.5826331545879366,2.143100567645657,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
228,192,9,3.586607643231621,3.2106687001971657,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
229,192,9,3.4412884207259147,2.7161783441667,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
230,192,9,3.0017531479430577,2.4142749225014586,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
231,192,9,2.6104015116509656,1.966227146719295,residual_memory_knn_median,inner_calib,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
0,96,9,1.8989136197473302,1.3552167201763312,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
1,96,9,2.5691742076235333,1.4921565203382354,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
2,96,9,2.4656672581739714,0.9448737147346227,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
3,96,9,3.08019702924265,2.2344935689666183,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
4,96,9,2.5534359948848278,1.7796508864028435,residual_memory_knn_weighted,inner_calib,residual_memory_knn_weighted,768,0.14170334462528053,0.4791666666666667,0.5052083333333334
