dataset,backbone,horizon,seq_len,epochs,batch_size,learning_rate,max_train_windows,max_eval_windows,device,n_val,n_test,prediction_path,adapter_mode,test_threshold_leakage,mse,mae,variant,method,model_label,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,status,blocker_reason,tail_len,learned_params
ETTm1,DLinear,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_336_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,4.973089417003414,1.723679947374728,future_center_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_selector,-20.221493939677245,-8.931853532474323,completed,,48,"{""gamma"": 0.35178130865097046}"
ETTm1,DLinear,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_336_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,4.95900442381907,1.7219841597243633,future_center_horizon_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_selector,-20.447445982742234,-9.021448029617742,completed,,48,"{""gamma"": 0.35179299116134644}"
ETTm1,DLinear,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_336_future_center_horizon_residual_gate.jsonl,learnable_reversible_boundary_normalization,False,4.961766943019691,1.72313973955273,future_center_horizon_residual_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_residual_gate,-20.4031295354982,-8.960394634394984,completed,,48,"{""beta"": 0.7012914419174194, ""gamma"": 0.35179418325424194}"
ETTm1,DLinear,336,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_336_future_center_horizon_residual_gate_strong.jsonl,learnable_reversible_boundary_normalization,False,4.997105000433402,1.7269682826153878,future_center_horizon_residual_gate_strong,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_residual_gate_strong,-19.836234957270698,-8.758119078008551,completed,,48,"{""beta"": 0.7012641429901123, ""gamma"": 0.35170161724090576}"
ETTm1,DLinear,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_720_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,6.695479623439616,2.0011939203302544,unified_revin_rdn_hybrid,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-unified_revin_rdn_hybrid,-21.110362972189744,-9.440434607617714,completed,,48,"{""beta"": 0.7012760639190674, ""gamma"": 0.3517974615097046}"
ETTm1,DLinear,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_720_future_center_selector.jsonl,learnable_reversible_boundary_normalization,False,6.65592966548195,1.9966358713553158,future_center_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_selector,-21.576361228210512,-9.646698943129744,completed,,48,"{""gamma"": 0.35178202390670776}"
ETTm1,DLinear,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_720_future_center_horizon_selector.jsonl,learnable_reversible_boundary_normalization,False,6.659651994277061,1.9971499219316702,future_center_horizon_selector,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_selector,-21.53250280669931,-9.623436731351353,completed,,48,"{""gamma"": 0.35176679491996765}"
ETTm1,DLinear,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_720_future_center_horizon_residual_gate.jsonl,learnable_reversible_boundary_normalization,False,6.673511706776709,1.999460648794233,future_center_horizon_residual_gate,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_residual_gate,-21.369200437055877,-9.518869943351286,completed,,48,"{""beta"": 0.7012923359870911, ""gamma"": 0.35177290439605713}"
ETTm1,DLinear,720,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_DLinear_720_future_center_horizon_residual_gate_strong.jsonl,learnable_reversible_boundary_normalization,False,6.677301316389937,2.000381254353799,future_center_horizon_residual_gate_strong,HalluGuard-LRBN,DLinear+HalluGuard-LRBN-future_center_horizon_residual_gate_strong,-21.324549277814334,-9.477209992996082,completed,,48,"{""beta"": 0.7011544704437256, ""gamma"": 0.35173752903938293}"
ETTm1,PatchTST,96,96,2,256,0.001,1024,128,cpu,128,128,baseline_predictions\halluguard_lrbn_future_center_residual_horizon_l1\ETTm1_PatchTST_96_unified_revin_rdn_hybrid.jsonl,learnable_reversible_boundary_normalization,False,2.728720642029172,1.2740679758209146,unified_revin_rdn_hybrid,HalluGuard-LRBN,PatchTST+HalluGuard-LRBN-unified_revin_rdn_hybrid,-0.4742181224174073,-0.10948916848209192,completed,,48,"{""beta"": 0.7016249895095825, ""gamma"": 0.3517478406429291}"
