variant,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,max_config_harm,config_improved_ratio,improved_configs,total_configs,test_threshold_leakage,coverage,selected_count,selected_harm_rate,oracle_gain_fraction,mean_safe_weight,mean_weight_smoothing_teacher,mean_weight_residual_distribution,mean_weight_retrieval_memory,boundary_veto_rate,family_rep,tau_leave,tau_family_gain,tau_family_harm,safe_floor,beta_harm,temperature,family_mass_cap,boundary_veto,boundary_veto_mult,boundary_gap_quantile,boundary_repair_quantile,calibration_feasible,calibration_score,target_variant
CGA-HM-balanced,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.5,0.1,0.8,2.0,1.0,0.4,False,1.0,0.75,0.5,False,59.447943866206494,CGA-HM-balanced
CGA-HM-balanced,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.5,0.1,0.9,2.0,1.0,0.25,False,1.0,0.75,0.5,False,59.63260076582711,CGA-HM-balanced
CGA-HM-balanced,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.5,0.1,0.9,2.0,1.0,0.4,False,1.0,0.75,0.5,False,59.63260076582711,CGA-HM-balanced
CGA-HM-balanced,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.6,0.06,0.8,2.0,1.0,0.25,False,1.0,0.75,0.5,False,59.447943866206494,CGA-HM-balanced
CGA-HM-balanced,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.6,0.06,0.8,2.0,1.0,0.4,False,1.0,0.75,0.5,False,59.447943866206494,CGA-HM-balanced
CGA-HM-balanced,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.6,0.06,0.9,2.0,1.0,0.25,False,1.0,0.75,0.5,False,59.63260076582711,CGA-HM-balanced
CGA-HM-balanced,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.6,0.06,0.9,2.0,1.0,0.4,False,1.0,0.75,0.5,False,59.63260076582711,CGA-HM-balanced
CGA-HM-balanced,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.6,0.1,0.8,2.0,1.0,0.25,False,1.0,0.75,0.5,False,59.447943866206494,CGA-HM-balanced
CGA-HM-balanced,232,9.026711887460054,2.3189307222628526,9.1261157455358,2.332075092367097,-0.09940385807574631,-1.0892241643488783,-0.5636340824059595,0.19827586206896552,0.8017241379310345,0.4827586206896552,1.0,8,8,False,1.0,232,0.19827586206896552,0.05245194329981773,0.8000000000000814,0.07323127529250038,0.07524607418361148,0.051522650523806605,0.0,median,0.55,0.6,0.1,0.8,2.0,1.0,0.4,False,1.0,0.75,0.5,False,59.447943866206494,CGA-HM-balanced
CGA-HM-balanced,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.6,0.1,0.9,2.0,1.0,0.25,False,1.0,0.75,0.5,False,59.63260076582711,CGA-HM-balanced
CGA-HM-balanced,232,9.075372219638915,2.3253425189092893,9.1261157455358,2.332075092367097,-0.05074352589688543,-0.5560254467088622,-0.28869453865247247,0.1939655172413793,0.8060344827586207,0.4827586206896552,1.0,8,8,False,1.0,232,0.1939655172413793,0.026775585924925724,0.9000000000000409,0.03661563764625019,0.03762303709180574,0.025761325261903303,0.0,median,0.55,0.6,0.1,0.9,2.0,1.0,0.4,False,1.0,0.75,0.5,False,59.63260076582711,CGA-HM-balanced
CGA-HM-veto-safe,232,9.030898011132685,2.3191741662694882,9.1261157455358,2.332075092367097,-0.0952177344031164,-1.0433544451302619,-0.5531951387206308,0.21120689655172414,0.7844827586206896,0.41379310344827586,1.0,8,8,False,0.9956896551724138,231,0.21212121212121213,0.050243072077178715,0.8008620689656053,0.060705971518482685,0.0826165006194164,0.055815458896495626,0.16810344827586207,median,0.55,0.5,0.06,0.8,2.0,1.0,0.25,True,0.0,0.75,0.5,False,73.44833583746409,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.029331130155121,2.3190799218240112,9.1261157455358,2.332075092367097,-0.09678461538068056,-1.06052364415793,-0.5572363655825509,0.2025862068965517,0.7974137931034483,0.4482758620689655,1.0,8,8,False,1.0,232,0.2025862068965517,0.05106986043110892,0.8000000000000888,0.06565946042991182,0.07995750834781458,0.05438303122218477,0.16810344827586207,median,0.55,0.5,0.06,0.8,2.0,1.0,0.25,True,0.25,0.75,0.5,False,75.8284239748061,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.030898011132685,2.3191741662694882,9.1261157455358,2.332075092367097,-0.0952177344031164,-1.0433544451302619,-0.5531951387206308,0.21120689655172414,0.7844827586206896,0.41379310344827586,1.0,8,8,False,0.9956896551724138,231,0.21212121212121213,0.050243072077178715,0.8008620689656053,0.060705971518482685,0.0826165006194164,0.055815458896495626,0.16810344827586207,median,0.55,0.5,0.06,0.8,2.0,1.0,0.4,True,0.0,0.75,0.5,False,73.44833583746409,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.029331130155121,2.3190799218240112,9.1261157455358,2.332075092367097,-0.09678461538068056,-1.06052364415793,-0.5572363655825509,0.2025862068965517,0.7974137931034483,0.4482758620689655,1.0,8,8,False,1.0,232,0.2025862068965517,0.05106986043110892,0.8000000000000888,0.06565946042991182,0.07995750834781458,0.05438303122218477,0.16810344827586207,median,0.55,0.5,0.06,0.8,2.0,1.0,0.4,True,0.25,0.75,0.5,False,75.8284239748061,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.077553015422705,2.325483462852104,9.1261157455358,2.332075092367097,-0.04856273011309626,-0.5321292367307322,-0.28265082493709737,0.20689655172413793,0.7887931034482759,0.41379310344827586,1.0,8,8,False,0.9956896551724138,231,0.2077922077922078,0.02562485617445037,0.9004310344828026,0.030352985759241342,0.0413082503097082,0.027907729448247813,0.16810344827586207,median,0.55,0.5,0.06,0.9,2.0,1.0,0.25,True,0.0,0.75,0.5,False,73.58985639840094,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.076762308236217,2.325431721953,9.1261157455358,2.332075092367097,-0.049353437299584524,-0.5407934615517663,-0.28486948843774323,0.19827586206896552,0.8017241379310345,0.4482758620689655,1.0,8,8,False,1.0,232,0.19827586206896552,0.02604208473393784,0.9000000000000445,0.03282973021495591,0.03997875417390729,0.027191515611092384,0.16810344827586207,median,0.55,0.5,0.06,0.9,2.0,1.0,0.25,True,0.25,0.75,0.5,False,75.98664070583845,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.077553015422705,2.325483462852104,9.1261157455358,2.332075092367097,-0.04856273011309626,-0.5321292367307322,-0.28265082493709737,0.20689655172413793,0.7887931034482759,0.41379310344827586,1.0,8,8,False,0.9956896551724138,231,0.2077922077922078,0.02562485617445037,0.9004310344828026,0.030352985759241342,0.0413082503097082,0.027907729448247813,0.16810344827586207,median,0.55,0.5,0.06,0.9,2.0,1.0,0.4,True,0.0,0.75,0.5,False,73.58985639840094,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.076762308236217,2.325431721953,9.1261157455358,2.332075092367097,-0.049353437299584524,-0.5407934615517663,-0.28486948843774323,0.19827586206896552,0.8017241379310345,0.4482758620689655,1.0,8,8,False,1.0,232,0.19827586206896552,0.02604208473393784,0.9000000000000445,0.03282973021495591,0.03997875417390729,0.027191515611092384,0.16810344827586207,median,0.55,0.5,0.06,0.9,2.0,1.0,0.4,True,0.25,0.75,0.5,False,75.98664070583845,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.030898011132685,2.3191741662694882,9.1261157455358,2.332075092367097,-0.0952177344031164,-1.0433544451302619,-0.5531951387206308,0.21120689655172414,0.7844827586206896,0.41379310344827586,1.0,8,8,False,0.9956896551724138,231,0.21212121212121213,0.050243072077178715,0.8008620689656053,0.060705971518482685,0.0826165006194164,0.055815458896495626,0.16810344827586207,median,0.55,0.5,0.1,0.8,2.0,1.0,0.25,True,0.0,0.75,0.5,False,73.44833583746409,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.029331130155121,2.3190799218240112,9.1261157455358,2.332075092367097,-0.09678461538068056,-1.06052364415793,-0.5572363655825509,0.2025862068965517,0.7974137931034483,0.4482758620689655,1.0,8,8,False,1.0,232,0.2025862068965517,0.05106986043110892,0.8000000000000888,0.06565946042991182,0.07995750834781458,0.05438303122218477,0.16810344827586207,median,0.55,0.5,0.1,0.8,2.0,1.0,0.25,True,0.25,0.75,0.5,False,75.8284239748061,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.030898011132685,2.3191741662694882,9.1261157455358,2.332075092367097,-0.0952177344031164,-1.0433544451302619,-0.5531951387206308,0.21120689655172414,0.7844827586206896,0.41379310344827586,1.0,8,8,False,0.9956896551724138,231,0.21212121212121213,0.050243072077178715,0.8008620689656053,0.060705971518482685,0.0826165006194164,0.055815458896495626,0.16810344827586207,median,0.55,0.5,0.1,0.8,2.0,1.0,0.4,True,0.0,0.75,0.5,False,73.44833583746409,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.029331130155121,2.3190799218240112,9.1261157455358,2.332075092367097,-0.09678461538068056,-1.06052364415793,-0.5572363655825509,0.2025862068965517,0.7974137931034483,0.4482758620689655,1.0,8,8,False,1.0,232,0.2025862068965517,0.05106986043110892,0.8000000000000888,0.06565946042991182,0.07995750834781458,0.05438303122218477,0.16810344827586207,median,0.55,0.5,0.1,0.8,2.0,1.0,0.4,True,0.25,0.75,0.5,False,75.8284239748061,CGA-HM-veto-safe
CGA-HM-veto-safe,232,9.077553015422705,2.325483462852104,9.1261157455358,2.332075092367097,-0.04856273011309626,-0.5321292367307322,-0.28265082493709737,0.20689655172413793,0.7887931034482759,0.41379310344827586,1.0,8,8,False,0.9956896551724138,231,0.2077922077922078,0.02562485617445037,0.9004310344828026,0.030352985759241342,0.0413082503097082,0.027907729448247813,0.16810344827586207,median,0.55,0.5,0.1,0.9,2.0,1.0,0.25,True,0.0,0.75,0.5,False,73.58985639840094,CGA-HM-veto-safe
