variant,dataset,backbone,horizon,seed,config_key,n,mse,mae,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,coverage,lrbn_mse,lrbn_mae
SafeTAE-pareto-safe,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.209717483944238,2.0890937278923247,-0.4501119686478163,-0.2569846472380484,0.0,0.9479166666666666,0.9479166666666666,,
SafeTAE-pareto-safe,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.796033404712985,1.2680595048751486,-0.7704373185979435,-0.4662331123651023,0.0,0.10416666666666667,0.3333333333333333,,
SafeTAE-pareto-safe,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.994698335172625,1.5380548779931642,0.0,0.0,0.0,0.0,0.0,,
SafeTAE-pareto-safe,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.910134596709725,1.2987476790250427,-3.419452687856244,-2.138411705504158,0.020833333333333332,0.9479166666666666,0.9895833333333334,,
SafeTAE-pareto-safe,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.1868826579883525,1.5779303989342128,-0.6673931633566874,-0.39599846009242573,0.041666666666666664,0.7291666666666666,0.7708333333333334,,
SafeTAE-pareto-balanced,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.260651035606192,1.7565202952476493,-0.6434219319234281,-0.5710501392381013,0.010416666666666666,0.0625,0.07291666666666667,,
SafeTAE-pareto-balanced,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.648977952325754,1.9870521763491784,-1.8067286810599357,-1.604540704517455,0.08333333333333333,0.2916666666666667,0.3854166666666667,,
SafeTAE-pareto-balanced,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.69296934485342,1.833555183772,-1.9178445633653445,-1.0693207228672474,0.0,0.9166666666666666,0.9166666666666666,,
SafeTAE-pareto-balanced,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.179934686770086,2.084168357657577,-0.8613450199341655,-0.4921446451030218,0.0,0.9479166666666666,0.9479166666666666,,
SafeTAE-pareto-balanced,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.7656968484177287,1.2607808959079438,-1.8470636559648799,-1.037552801787834,0.010416666666666666,0.21875,0.4270833333333333,,
SafeTAE-pareto-balanced,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,3.994698335172625,1.5380548779931642,0.0,0.0,0.0,0.0,0.0,,
SafeTAE-pareto-balanced,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.897176944240478,1.2944182163011015,-3.8494868053417495,-2.4646398883968317,0.020833333333333332,0.9479166666666666,0.9791666666666666,,
SafeTAE-pareto-balanced,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.151636901155432,1.5670859570513105,-1.503588773258161,-1.080534229153124,0.08333333333333333,0.7916666666666666,0.875,,
SafeTAE-pareto-aggressive-diagnostic,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.113270510944273,1.7254665370986775,-3.426960409830341,-2.3288678842182957,0.11458333333333333,0.375,0.4895833333333333,,
SafeTAE-pareto-aggressive-diagnostic,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.636877284097203,1.987235296764922,-1.98543346926034,-1.595472891635006,0.10416666666666667,0.3645833333333333,0.46875,,
SafeTAE-pareto-aggressive-diagnostic,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.617168576055007,1.8203815412694568,-3.2237891985958327,-1.7801132890018958,0.0,0.9270833333333334,0.9270833333333334,,
SafeTAE-pareto-aggressive-diagnostic,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.149080963874748,2.0790327943400917,-1.2873651326724542,-0.7373402347168232,0.0,0.9895833333333334,0.9895833333333334,,
SafeTAE-pareto-aggressive-diagnostic,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.726686555835526,1.2445158282818947,-3.231515734626062,-2.314246387941945,0.020833333333333332,0.375,0.5833333333333334,,
SafeTAE-pareto-aggressive-diagnostic,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,4.08994087645534,1.5463950140067073,2.384223614727013,0.5422521704947227,0.3020833333333333,0.3229166666666667,0.625,,
SafeTAE-pareto-aggressive-diagnostic,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.8705242343954063,1.2894245204908386,-4.734027780956328,-2.8409185201753884,0.010416666666666666,0.9895833333333334,1.0,,
SafeTAE-pareto-aggressive-diagnostic,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.127135397172804,1.563332694197338,-2.084880023815747,-1.3174521546649702,0.010416666666666666,0.9791666666666666,0.9895833333333334,,
SafeTAE-safe,ETTh1,DLinear,96,2026,ETTh1/DLinear/96,96,5.294718415187439,1.7666085156934137,0.0,0.0,0.0,0.0,,5.294718415187439,1.7666085156934137
SafeTAE-safe,ETTh1,DLinear,192,2026,ETTh1/DLinear/192,96,6.7713172839613245,2.019455156505236,0.0,0.0,0.0,0.0,,6.7713172839613245,2.019455156505236
SafeTAE-safe,ETTh1,PatchTST,96,2026,ETTh1/PatchTST/96,96,5.597858177249679,1.817295478672774,-3.556481229609987,-1.9466238309362844,0.0,0.9895833333333334,,5.8042865388731295,1.8533736928487337
SafeTAE-safe,ETTh1,PatchTST,192,2026,ETTh1/PatchTST/192,96,7.0604886431859,2.0583127359223616,-2.510624658780134,-1.726611834829337,0.03125,0.7916666666666666,,7.242316015180876,2.0944762102183376
SafeTAE-safe,ETTm1,DLinear,96,2026,ETTm1/DLinear/96,96,2.7371964308178427,1.2498211381217448,-2.8585265232512227,-1.89781682239564,0.0,0.1666666666666666,,2.8177423433450954,1.2739993115635848
SafeTAE-safe,ETTm1,DLinear,192,2026,ETTm1/DLinear/192,96,4.035641067022455,1.5401867158545783,1.0249267482063416,0.1386060977443873,0.0833333333333333,0.1041666666666666,,3.994698335172625,1.5380548779931642
SafeTAE-safe,ETTm1,PatchTST,96,2026,ETTm1/PatchTST/96,96,2.852714125388109,1.2844826863315324,-5.325103558567341,-3.213289338621842,0.0208333333333333,0.9791666666666666,,3.013168467192729,1.3271271209399849
SafeTAE-safe,ETTm1,PatchTST,192,2026,ETTm1/PatchTST/192,96,4.088807830424503,1.5505309275998354,-2.9941907021212946,-2.1255405042344813,0.0104166666666666,0.9375,,4.215013369115137,1.5842038217125196
