method,n,mse,mae,lrbn_mse,lrbn_mae,mse_delta_vs_lrbn,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,harm_rate,win_rate,mean_win_size,mean_loss_size,win_loss_ratio,top5_loss_contribution,coverage,selected_count,selected_harm_rate,split,tier,family,deployable
mrc_ridge_abstain,768,4.835279636495446,1.6684196707975232,4.894157596003544,1.682162338434372,-0.058877959508098494,-1.2030254080063634,-0.8169644059409285,0.026041666666666668,0.07552083333333333,0.9365503015412147,0.4550822293585404,2.0579803396883296,0.9999999999999998,0.0,0,0.0,test,safe,residual,True
mrc_ridge_residual_blend,768,4.786188617410421,1.64498482414434,4.894157596003544,1.682162338434372,-0.10796897859312347,-2.206078906422641,-2.2101026291923542,0.4114583333333333,0.5885416666666666,0.7542819650179429,0.8165040273056687,0.9237945319988268,0.43005271942340256,0.0,0,0.0,test,balanced,residual,True
volatility_shrink,768,4.761939212485863,1.6571820480831352,4.894157596003544,1.682162338434372,-0.13221838351768186,-2.7015554904789436,-1.485010669421211,0.16015625,0.83984375,0.15952522068089234,0.01097600648451954,14.533981513774606,0.7564419213097373,0.0,0,0.0,test,safe,volatility,True
level_bias_bounded,768,4.765325131587551,1.646531300886272,4.894157596003544,1.682162338434372,-0.12883246441599375,-2.632372612152032,-2.1181687713592314,0.2981770833333333,0.7018229166666666,0.21674089735766006,0.07807865067377975,2.7759300106750633,0.6619172064482678,0.0,0,0.0,test,balanced,level,True
level_bias_light,768,4.816989644191789,1.6620514230767771,4.894157596003544,1.682162338434372,-0.07716795181175538,-1.5767361418254064,-1.1955395016606218,0.2747395833333333,0.7252604166666666,0.12024365228942496,0.03654373143972309,3.29040343304093,0.6861442774511463,0.0,0,0.0,test,safe,level,True
amplitude_scale_bounded,768,4.850900468720464,1.673949958564741,4.894157596003544,1.682162338434372,-0.0432571272830797,-0.8838523555109313,-0.48820376209670996,0.2799479166666667,0.7200520833333334,0.062307178515385815,0.0057413765842006526,10.852287614083483,0.5039159381539273,0.0,0,0.0,test,balanced,amplitude,True
amplitude_expand,768,4.927670283888929,1.6884181392653972,4.894157596003544,1.682162338434372,0.033512687885385334,0.6847488492049354,0.37189043238588665,0.7434895833333334,0.2565104166666667,0.003790478903690818,0.046382607075311784,0.08172197134836506,0.25125140560618314,0.0,0,0.0,test,aggressive,amplitude,False
phase_shift_short,768,4.812234225026306,1.666703231260308,4.894157596003544,1.682162338434372,-0.08192337097723802,-1.6739013651040702,-0.9190020920663283,0.06380208333333333,0.9361979166666666,0.08762964694704407,0.0018074947837934748,48.481004162618376,0.9940741457002725,0.0,0,0.0,test,aggressive,phase,False
ensemble_median,768,4.880514003227062,1.6794169126997243,4.894157596003544,1.682162338434372,-0.013643592776481797,-0.2787730570782177,-0.1632081313199637,0.024739583333333332,0.21484375,0.06426038379584512,0.0065623196829696934,9.792312623763966,1.0,0.0,0,0.0,test,safe,ensemble,True
bp_always,768,4.6439807089980585,1.6218519507831555,4.894157596003544,1.682162338434372,-0.2501768870054856,-5.111745618870136,-3.5852893573173152,0.4231770833333333,0.5768229166666666,0.7355440434720207,0.4114158831935147,1.7878357536519578,0.47513515907750103,0.0,0,0.0,test,aggressive,boundary,False
