dataset,backbone,horizon,seed,method,status,n_test_samples,mse,mae,mse_delta_pct_vs_raw,mae_delta_pct_vs_raw,mse_delta_pct_vs_lrbn,mae_delta_pct_vs_lrbn,win_rate_vs_lrbn,harm_rate_vs_lrbn,coverage,mean_strength,test_threshold_leakage,comparison_scope,blocker_reason
ETTm1,DLinear,96,2026,LRBN-SRA-BP-safe,completed,96,2.6928010429757467,1.234580511660631,-43.72772348730983,-26.08576059681195,-4.434092445123273,-3.0940989955908234,0.22916666666666666,0.0,0.22916666666666666,0.171875,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,LRBN-SRA-BP-safe,completed,96,3.940405316053798,1.5184772168994483,-38.961630886021545,-22.546835940551205,-1.359126886773219,-1.2728844317471895,0.17708333333333334,0.052083333333333336,0.22916666666666666,0.171875,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-safe,completed,96,2.9052281671338314,1.295809853054107,-5.242184287400907,-3.0978822285575607,-3.582285598502432,-2.3597790589700853,0.20833333333333334,0.03125,0.23958333333333334,0.1796875,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-safe,completed,96,4.139411672336638,1.559940769275504,-2.0034073845327094,-1.707739798069309,-1.7936288727442857,-1.5315612867776027,0.23958333333333334,0.11458333333333333,0.3541666666666667,0.265625,False,sample_aligned_compact_pilot,
ETTh1,DLinear,96,2026,LRBN-SRA-BP-balanced,completed,96,5.092716103615506,1.7166752436703696,-42.313133034748994,-24.10607225821097,-3.8151662795224155,-2.8265046601689483,0.3645833333333333,0.0625,0.4270833333333333,0.3203125,False,sample_aligned_compact_pilot,
ETTh1,DLinear,192,2026,LRBN-SRA-BP-balanced,completed,96,6.647688769334823,1.9897684724907496,-39.33728208610335,-21.744857810029202,-1.825767564005783,-1.470034326775821,0.23958333333333334,0.11458333333333333,0.3541666666666667,0.265625,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,96,2026,LRBN-SRA-BP-balanced,completed,96,5.656138297549248,1.8207390890575013,-2.9789955965368433,-2.2384105667350718,-2.5523936547870423,-1.7608215718792075,0.2708333333333333,0.0625,0.3333333333333333,0.25,False,sample_aligned_compact_pilot,
ETTh1,PatchTST,192,2026,LRBN-SRA-BP-balanced,completed,96,7.1765952399686865,2.079197176348409,-1.2901329106119392,-0.8559808461558565,-0.907455226676392,-0.7294918794197538,0.21875,0.10416666666666667,0.3229166666666667,0.2421875,False,sample_aligned_compact_pilot,
ETTm1,DLinear,96,2026,LRBN-SRA-BP-balanced,completed,96,2.6497538254477084,1.2128107388684082,-44.627294190521496,-27.389115204079868,-5.961812594188404,-4.802873293552381,0.5,0.052083333333333336,0.5520833333333334,0.4140625,False,sample_aligned_compact_pilot,
ETTm1,DLinear,192,2026,LRBN-SRA-BP-balanced,completed,96,3.9061928594973883,1.5075104402520072,-39.4915947816334,-23.10621973730742,-2.215573448836902,-1.9859133882785225,0.375,0.19791666666666666,0.5729166666666666,0.4296875,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,96,2026,LRBN-SRA-BP-balanced,completed,96,2.878273894125695,1.2840796064446778,-6.121333148500856,-3.975083259059853,-4.476834751714564,-3.2436617273547026,0.3541666666666667,0.052083333333333336,0.40625,0.3046875,False,sample_aligned_compact_pilot,
ETTm1,PatchTST,192,2026,LRBN-SRA-BP-balanced,completed,96,4.128501115461629,1.5542358612560612,-2.26170433151995,-2.0672074871760153,-2.052478748641526,-1.8916732838104282,0.3333333333333333,0.1875,0.5208333333333334,0.390625,False,sample_aligned_compact_pilot,
